"","GeneinGenome","GenenotinGO","GennomeinGO","GenomenotinGO","Fisher","FDR"
"GO:0005783",24,281,784,17246,0.00670324874610852,0.71590696608439
"GO:0006351",16,289,1786,16244,0.0047479925718971,0.71590696608439
"GO:0006915",19,286,525,17505,0.00298585548176997,0.71590696608439
"GO:0016874",11,294,227,17803,0.0022089257240295,0.71590696608439
"GO:0030101",3,302,19,18011,0.00555297078375388,0.71590696608439
"GO:0005031",3,302,24,18006,0.00992199704252776,0.883057736784971
"GO:0000003",0,305,2,18028,1,1
"GO:0000165",3,302,258,17772,0.804616391631795,1
"GO:0000166",7,298,308,17722,0.373521605512191,1
"GO:0000228",1,304,49,17981,0.568233558393419,1
"GO:0000375",0,305,25,18005,1,1
"GO:0000398",3,302,218,17812,1,1
"GO:0000910",0,305,47,17983,1,1
"GO:0000981",4,301,161,17869,0.357052828807022,1
"GO:0000988",0,305,5,18025,1,1
"GO:0000989",0,305,13,18017,1,1
"GO:0000991",0,305,1,18029,1,1
"GO:0001070",0,305,1,18029,1,1
"GO:0001071",0,305,2,18028,1,1
"GO:0001076",1,304,13,18017,0.209374362214467,1
"GO:0001501",1,304,135,17895,0.730817875802013,1
"GO:0001525",6,299,216,17814,0.189770253062573,1
"GO:0001678",0,305,13,18017,1,1
"GO:0001816",1,304,22,18008,0.32026563367213,1
"GO:0002376",0,305,27,18003,1,1
"GO:0002446",0,305,9,18021,1,1
"GO:0002504",0,305,1,18029,1,1
"GO:0003674",13,292,735,17295,0.883356083187612,1
"GO:0003676",6,299,165,17865,0.0665238405811318,1
"GO:0003677",29,276,1421,16609,0.28471661338235,1
"GO:0003678",0,305,17,18013,1,1
"GO:0003682",7,298,361,17669,0.677621398570784,1
"GO:0003684",2,303,58,17972,0.263512704021224,1
"GO:0003688",0,305,10,18020,1,1
"GO:0003690",2,303,72,17958,0.349388693369951,1
"GO:0003697",2,303,85,17945,0.657559783358096,1
"GO:0003700",10,295,856,17174,0.275825884624871,1
"GO:0003712",3,302,65,17965,0.104084579406843,1
"GO:0003723",5,300,438,17592,0.568821810000374,1
"GO:0003724",0,305,11,18019,1,1
"GO:0003729",2,303,111,17919,0.712712661543604,1
"GO:0003735",7,298,210,17820,0.0969194832774843,1
"GO:0003743",2,303,51,17979,0.220363531237404,1
"GO:0003746",0,305,19,18011,1,1
"GO:0003747",0,305,4,18026,1,1
"GO:0003756",1,304,21,18009,0.308753029178017,1
"GO:0003774",1,304,47,17983,0.553462197924146,1
"GO:0003777",0,305,67,17963,0.631042843628076,1
"GO:0003779",5,300,281,17749,0.814557254694575,1
"GO:0003823",1,304,66,17964,1,1
"GO:0003824",0,305,53,17977,1,1
"GO:0003887",1,304,28,18002,0.385436574722364,1
"GO:0003896",0,305,4,18026,1,1
"GO:0003899",0,305,22,18008,1,1
"GO:0003909",0,305,4,18026,1,1
"GO:0003916",0,305,2,18028,1,1
"GO:0003924",4,301,230,17800,0.797856655427038,1
"GO:0003964",0,305,8,18022,1,1
"GO:0004016",0,305,10,18020,1,1
"GO:0004190",0,305,20,18010,1,1
"GO:0004383",0,305,8,18022,1,1
"GO:0004386",1,304,49,17981,0.568233558393419,1
"GO:0004518",0,305,13,18017,1,1
"GO:0004520",0,305,21,18009,1,1
"GO:0004521",0,305,17,18013,1,1
"GO:0004532",0,305,5,18025,1,1
"GO:0004553",0,305,5,18025,1,1
"GO:0004601",1,304,20,18010,0.297046086754745,1
"GO:0004620",1,304,11,18019,0.182380402563875,1
"GO:0004645",0,305,2,18028,1,1
"GO:0004672",4,301,191,17839,0.569633106440653,1
"GO:0004675",0,305,7,18023,1,1
"GO:0004714",1,304,30,18000,0.40574525777313,1
"GO:0004715",2,303,46,17984,0.189934787459234,1
"GO:0004721",0,305,37,17993,1,1
"GO:0004801",0,305,1,18029,1,1
"GO:0004802",0,305,3,18027,1,1
"GO:0004842",6,299,320,17710,0.664743267242944,1
"GO:0004857",0,305,26,18004,1,1
"GO:0004867",0,305,95,17935,0.412709673656662,1
"GO:0004869",0,305,34,17996,1,1
"GO:0004871",3,302,194,17836,1,1
"GO:0004872",5,300,197,17833,0.394385012643395,1
"GO:0004879",2,303,34,17996,0.120264580319902,1
"GO:0004896",0,305,21,18009,1,1
"GO:0004904",0,305,1,18029,1,1
"GO:0004930",4,301,654,17376,0.0282023602592929,1
"GO:0005024",0,305,6,18024,1,1
"GO:0005085",1,304,109,17921,1,1
"GO:0005102",7,298,336,17694,0.520183811892621,1
"GO:0005125",4,301,174,17856,0.544968682073611,1
"GO:0005126",1,304,13,18017,0.209374362214467,1
"GO:0005132",0,305,17,18013,1,1
"GO:0005133",0,305,1,18029,1,1
"GO:0005134",0,305,5,18025,1,1
"GO:0005135",0,305,2,18028,1,1
"GO:0005136",0,305,2,18028,1,1
"GO:0005137",0,305,2,18028,1,1
"GO:0005138",0,305,7,18023,1,1
"GO:0005139",0,305,1,18029,1,1
"GO:0005140",0,305,1,18029,1,1
"GO:0005141",0,305,1,18029,1,1
"GO:0005142",0,305,1,18029,1,1
"GO:0005143",0,305,5,18025,1,1
"GO:0005144",0,305,1,18029,1,1
"GO:0005160",0,305,42,17988,1,1
"GO:0005164",2,303,29,18001,0.0935964473422932,1
"GO:0005179",2,303,92,17938,0.67106293504523,1
"GO:0005184",1,304,30,18000,0.40574525777313,1
"GO:0005198",3,302,216,17814,1,1
"GO:0005200",3,302,107,17923,0.433950314823163,1
"GO:0005201",0,305,62,17968,0.628698610487325,1
"GO:0005215",4,301,135,17895,0.297679038044829,1
"GO:0005216",0,305,15,18015,1,1
"GO:0005243",0,305,12,18018,1,1
"GO:0005244",1,304,28,18002,0.385436574722364,1
"GO:0005245",2,303,40,17990,0.154319733438615,1
"GO:0005246",1,304,27,18003,0.375024295825037,1
"GO:0005248",0,305,19,18011,1,1
"GO:0005249",1,304,45,17985,0.538187200898568,1
"GO:0005253",0,305,3,18027,1,1
"GO:0005261",0,305,20,18010,1,1
"GO:0005319",0,305,17,18013,1,1
"GO:0005326",0,305,6,18024,1,1
"GO:0005484",0,305,38,17992,1,1
"GO:0005509",10,295,692,17338,0.762866588239222,1
"GO:0005515",109,196,6144,11886,0.542968730772357,1
"GO:0005516",3,302,188,17842,1,1
"GO:0005544",0,305,45,17985,1,1
"GO:0005575",9,296,482,17548,0.719082371836006,1
"GO:0005576",23,282,1476,16554,0.752504834612755,1
"GO:0005578",4,301,244,17786,1,1
"GO:0005615",22,283,1294,16736,0.911219291439429,1
"GO:0005618",0,305,2,18028,1,1
"GO:0005622",9,296,532,17498,1,1
"GO:0005634",103,202,5114,12916,0.0405655453832181,1
"GO:0005635",4,301,155,17875,0.341431307741472,1
"GO:0005654",59,246,2744,15286,0.0537442421225176,1
"GO:0005694",0,305,95,17935,0.412709673656662,1
"GO:0005730",20,285,804,17226,0.0921880626438911,1
"GO:0005737",84,221,4946,13084,0.948496502343385,1
"GO:0005739",27,278,1221,16809,0.167219339628617,1
"GO:0005743",14,291,412,17618,0.0184041170454306,1
"GO:0005764",1,304,213,17817,0.273617715125391,1
"GO:0005768",6,299,212,17818,0.182012891078018,1
"GO:0005773",0,305,15,18015,1,1
"GO:0005777",1,304,97,17933,1,1
"GO:0005794",14,291,798,17232,0.887885922157139,1
"GO:0005811",4,301,65,17965,0.0279055356758553,1
"GO:0005815",5,300,135,17895,0.0847172274324637,1
"GO:0005829",71,234,3254,14776,0.0242314627023329,1
"GO:0005834",0,305,31,17999,1,1
"GO:0005840",2,303,55,17975,0.244979545753282,1
"GO:0005856",8,297,331,17699,0.281433097775076,1
"GO:0005874",7,298,287,17743,0.349278090384246,1
"GO:0005886",73,232,3988,14042,0.444709128435432,1
"GO:0005902",0,305,57,17973,1,1
"GO:0005905",0,305,55,17975,1,1
"GO:0005921",0,305,15,18015,1,1
"GO:0005923",1,304,111,17919,1,1
"GO:0005929",0,305,118,17912,0.271361597883473,1
"GO:0005975",5,300,123,17907,0.0628030503585738,1
"GO:0005976",0,305,2,18028,1,1
"GO:0005977",0,305,26,18004,1,1
"GO:0005984",0,305,1,18029,1,1
"GO:0005996",0,305,1,18029,1,1
"GO:0006091",4,301,52,17978,0.0140007530110414,1
"GO:0006094",2,303,44,17986,0.177929565569512,1
"GO:0006096",2,303,24,18006,0.0690038096424322,1
"GO:0006098",0,305,11,18019,1,1
"GO:0006099",0,305,28,18002,1,1
"GO:0006119",2,303,12,18018,0.021997358643161,1
"GO:0006139",0,305,34,17996,1,1
"GO:0006144",0,305,5,18025,1,1
"GO:0006206",1,304,6,18024,0.110808565549723,1
"GO:0006259",0,305,22,18008,1,1
"GO:0006260",2,303,139,17891,1,1
"GO:0006281",0,305,196,17834,0.0826701467226346,1
"GO:0006308",0,305,6,18024,1,1
"GO:0006310",0,305,69,17961,0.632570593697307,1
"GO:0006325",0,305,39,17991,1,1
"GO:0006338",2,303,81,17949,0.402879036977711,1
