"","GeneinGenome","GenenotinGO","GennomeinGO","GenomenotinGO","Fisher","FDR"
"GO:0005654",157,556,2744,15286,2.42475685737662e-06,0.000647410080919558
"GO:0016020",119,594,1907,16123,1.38599025923972e-06,0.000647410080919558
"GO:0007186",11,702,867,17163,7.40646528792138e-06,0.00131835082125001
"GO:0004930",7,706,654,17376,2.67862871108877e-05,0.00357596932930351
"GO:0005739",77,636,1221,16809,0.000113174108116332,0.0120869947468242
"GO:0005515",284,429,6144,11886,0.00169401754053975,0.150767561108037
"GO:0004842",24,689,320,17710,0.00406747794108558,0.214768714604188
"GO:0005737",231,482,4946,13084,0.00419692029175966,0.214768714604188
"GO:0005768",18,695,212,17818,0.00442407464540462,0.214768714604188
"GO:0005886",125,588,3988,14042,0.00361396791608645,0.214768714604188
"GO:0016740",5,708,23,18007,0.00372895187552864,0.214768714604188
"GO:0006461",11,702,115,17915,0.00866993764379623,0.385812225148932
"GO:0016032",21,692,292,17738,0.0108300357691778,0.444864546210841
"GO:0003688",3,710,10,18020,0.011783501162051,0.449456401466803
"GO:0000166",21,692,308,17722,0.0192603542398308,0.685668610937975
"GO:0005102",5,708,336,17694,0.0208499955329453,0.695868600912048
"GO:0005085",0,713,109,17921,0.0230363494620819,0.723612388985396
"GO:0003690",7,706,72,17958,0.0305608946286513,0.779949985450265
"GO:0003723",27,686,438,17592,0.0269258424497161,0.779949985450265
"GO:0005615",36,677,1294,16736,0.0306721904390554,0.779949985450265
"GO:0007399",19,694,275,17755,0.0292624464377938,0.779949985450265
"GO:0003674",41,672,735,17295,0.0343403014039952,0.801806397083218
"GO:0005730",44,669,804,17226,0.0345347324586405,0.801806397083218
"GO:0003678",3,710,17,18013,0.0385899040134144,0.824280349726531
"GO:0004521",3,710,17,18013,0.0385899040134144,0.824280349726531
"GO:0004715",5,708,46,17984,0.0437963455979609,0.89950955958889
"GO:0000003",0,713,2,18028,1,1
"GO:0000165",9,704,258,17772,0.871741427396207,1
"GO:0000228",4,709,49,17981,0.142014822984957,1
"GO:0000375",2,711,25,18005,0.274357997342459,1
"GO:0000398",10,703,218,17812,0.599772196579793,1
"GO:0000910",0,713,47,17983,0.263935540878569,1
"GO:0000981",4,709,161,17869,0.535525059231165,1
"GO:0000988",1,712,5,18025,0.207633726286063,1
"GO:0000989",1,712,13,18017,0.419089432214862,1
"GO:0000991",0,713,1,18029,1,1
"GO:0001070",0,713,1,18029,1,1
"GO:0001071",0,713,2,18028,1,1
"GO:0001076",0,713,13,18017,1,1
"GO:0001501",4,709,135,17895,0.822151515942181,1
"GO:0001525",9,704,216,17814,0.859838107349553,1
"GO:0001678",0,713,13,18017,1,1
"GO:0001816",1,712,22,18008,0.590390254019647,1
"GO:0002376",0,713,27,18003,0.625034647881887,1
"GO:0002446",1,712,9,18021,0.321538875965643,1
"GO:0002504",0,713,1,18029,1,1
"GO:0003676",4,709,165,17865,0.420665700037522,1
"GO:0003677",55,658,1421,16609,0.9434761892208,1
"GO:0003682",14,699,361,17669,1,1
"GO:0003684",2,711,58,17972,1,1
"GO:0003697",6,707,85,17945,0.16202601623804,1
"GO:0003700",31,682,856,17174,0.71873916160699,1
"GO:0003712",2,711,65,17965,1,1
"GO:0003724",0,713,11,18019,1,1
"GO:0003729",6,707,111,17919,0.459374373362115,1
"GO:0003735",7,706,210,17820,0.857560106897467,1
"GO:0003743",2,711,51,17979,1,1
"GO:0003746",1,712,19,18011,0.539787712494169,1
"GO:0003747",0,713,4,18026,1,1
"GO:0003756",0,713,21,18009,1,1
"GO:0003774",4,709,47,17983,0.128319818101157,1
"GO:0003777",2,711,67,17963,1,1
"GO:0003779",7,706,281,17749,0.275868326267995,1
"GO:0003823",0,713,66,17964,0.182953624235497,1
"GO:0003824",2,711,53,17977,1,1
"GO:0003887",3,710,28,18002,0.112426559719392,1
"GO:0003896",1,712,4,18026,0.176290749689223,1
"GO:0003899",1,712,22,18008,0.590390254019647,1
"GO:0003909",1,712,4,18026,0.176290749689223,1
"GO:0003916",1,712,2,18028,0.10984196682561,1
"GO:0003924",12,701,230,17800,0.310433929033372,1
"GO:0003964",0,713,8,18022,1,1
"GO:0004016",0,713,10,18020,1,1
"GO:0004190",2,711,20,18010,0.203272687671674,1
"GO:0004383",0,713,8,18022,1,1
"GO:0004386",3,710,49,17981,0.449946719343474,1
"GO:0004518",1,712,13,18017,0.419089432214862,1
"GO:0004520",0,713,21,18009,1,1
"GO:0004532",0,713,5,18025,1,1
"GO:0004553",0,713,5,18025,1,1
"GO:0004601",0,713,20,18010,1,1
"GO:0004620",1,712,11,18019,0.37220340302952,1
"GO:0004645",0,713,2,18028,1,1
"GO:0004672",11,702,191,17839,0.197196488424999,1
"GO:0004675",0,713,7,18023,1,1
"GO:0004714",1,712,30,18000,1,1
"GO:0004721",4,709,37,17993,0.0694016396033703,1
"GO:0004801",0,713,1,18029,1,1
"GO:0004802",0,713,3,18027,1,1
"GO:0004857",0,713,26,18004,0.624643588950676,1
"GO:0004867",1,712,95,17935,0.274114348794488,1
"GO:0004869",1,712,34,17996,1,1
"GO:0004871",5,708,194,17836,0.454577636212528,1
"GO:0004872",7,706,197,17833,1,1
"GO:0004879",3,710,34,17996,0.165315518245946,1
"GO:0004896",1,712,21,18009,0.574172364810185,1
"GO:0004904",0,713,1,18029,1,1
"GO:0005024",0,713,6,18024,1,1
"GO:0005031",2,711,24,18006,0.260079332777245,1
