"","GeneinGenome","GenenotinGO","GennomeinGO","GenomenotinGO","Fisher","FDR"
"GO:0000003",0,36,2,18028,1,1
"GO:0000165",1,35,258,17772,0.405687956074274,1
"GO:0000166",1,35,308,17722,0.462956697669952,1
"GO:0000228",0,36,49,17981,1,1
"GO:0000375",0,36,25,18005,1,1
"GO:0000398",0,36,218,17812,1,1
"GO:0000910",1,35,47,17983,0.0914175119960301,1
"GO:0000981",0,36,161,17869,1,1
"GO:0000988",0,36,5,18025,1,1
"GO:0000989",0,36,13,18017,1,1
"GO:0000991",0,36,1,18029,1,1
"GO:0001070",0,36,1,18029,1,1
"GO:0001071",0,36,2,18028,1,1
"GO:0001076",0,36,13,18017,1,1
"GO:0001501",0,36,135,17895,1,1
"GO:0001525",1,35,216,17814,0.353031039677354,1
"GO:0001678",0,36,13,18017,1,1
"GO:0001816",0,36,22,18008,1,1
"GO:0002376",0,36,27,18003,1,1
"GO:0002446",0,36,9,18021,1,1
"GO:0002504",0,36,1,18029,1,1
"GO:0003674",1,35,735,17295,1,1
"GO:0003676",0,36,165,17865,1,1
"GO:0003677",4,32,1421,16609,0.526917487565006,1
"GO:0003678",0,36,17,18013,1,1
"GO:0003682",2,34,361,17669,0.162848448694602,1
"GO:0003684",1,35,58,17972,0.111193493620113,1
"GO:0003688",0,36,10,18020,1,1
"GO:0003690",0,36,72,17958,1,1
"GO:0003697",1,35,85,17945,0.157976911947768,1
"GO:0003700",4,32,856,17174,0.0902453341191948,1
"GO:0003712",0,36,65,17965,1,1
"GO:0003723",1,35,438,17592,0.587890459399999,1
"GO:0003724",0,36,11,18019,1,1
"GO:0003729",0,36,111,17919,1,1
"GO:0003735",0,36,210,17820,1,1
"GO:0003743",0,36,51,17979,1,1
"GO:0003746",0,36,19,18011,1,1
"GO:0003747",0,36,4,18026,1,1
"GO:0003756",0,36,21,18009,1,1
"GO:0003774",0,36,47,17983,1,1
"GO:0003777",0,36,67,17963,1,1
"GO:0003779",1,35,281,17749,0.432733013998806,1
"GO:0003823",0,36,66,17964,1,1
"GO:0003824",0,36,53,17977,1,1
"GO:0003887",0,36,28,18002,1,1
"GO:0003896",0,36,4,18026,1,1
"GO:0003899",0,36,22,18008,1,1
"GO:0003909",0,36,4,18026,1,1
"GO:0003916",0,36,2,18028,1,1
"GO:0003924",0,36,230,17800,1,1
"GO:0003964",0,36,8,18022,1,1
"GO:0004016",0,36,10,18020,1,1
"GO:0004190",0,36,20,18010,1,1
"GO:0004383",0,36,8,18022,1,1
"GO:0004386",0,36,49,17981,1,1
"GO:0004518",0,36,13,18017,1,1
"GO:0004520",0,36,21,18009,1,1
"GO:0004521",0,36,17,18013,1,1
"GO:0004532",0,36,5,18025,1,1
"GO:0004553",0,36,5,18025,1,1
"GO:0004601",0,36,20,18010,1,1
"GO:0004620",0,36,11,18019,1,1
"GO:0004645",0,36,2,18028,1,1
"GO:0004672",0,36,191,17839,1,1
"GO:0004675",0,36,7,18023,1,1
"GO:0004714",0,36,30,18000,1,1
"GO:0004715",0,36,46,17984,1,1
"GO:0004721",0,36,37,17993,1,1
"GO:0004801",0,36,1,18029,1,1
"GO:0004802",0,36,3,18027,1,1
"GO:0004842",1,35,320,17710,0.475881372974363,1
"GO:0004857",0,36,26,18004,1,1
"GO:0004867",0,36,95,17935,1,1
"GO:0004869",0,36,34,17996,1,1
"GO:0004871",1,35,194,17836,0.323666202310964,1
"GO:0004872",0,36,197,17833,1,1
"GO:0004879",1,35,34,17996,0.0674940034309333,1
"GO:0004896",0,36,21,18009,1,1
"GO:0004904",0,36,1,18029,1,1
"GO:0004930",1,35,654,17376,1,1
"GO:0005024",0,36,6,18024,1,1
"GO:0005031",0,36,24,18006,1,1
"GO:0005085",1,35,109,17921,0.197545587076666,1
"GO:0005102",0,36,336,17694,1,1
"GO:0005125",0,36,174,17856,1,1
"GO:0005126",0,36,13,18017,1,1
"GO:0005132",0,36,17,18013,1,1
"GO:0005133",0,36,1,18029,1,1
"GO:0005134",0,36,5,18025,1,1
"GO:0005135",0,36,2,18028,1,1
"GO:0005136",0,36,2,18028,1,1
"GO:0005137",0,36,2,18028,1,1
"GO:0005138",0,36,7,18023,1,1
"GO:0005139",0,36,1,18029,1,1
"GO:0005140",0,36,1,18029,1,1
"GO:0005141",0,36,1,18029,1,1
"GO:0005142",0,36,1,18029,1,1
"GO:0005143",0,36,5,18025,1,1
"GO:0005144",0,36,1,18029,1,1
"GO:0005160",0,36,42,17988,1,1
"GO:0005164",0,36,29,18001,1,1
"GO:0005179",0,36,92,17938,1,1
"GO:0005184",0,36,30,18000,1,1
"GO:0005198",1,35,216,17814,0.353031039677354,1
"GO:0005200",1,35,107,17923,0.194318471736567,1
"GO:0005201",0,36,62,17968,1,1
"GO:0005215",0,36,135,17895,1,1
"GO:0005216",0,36,15,18015,1,1
"GO:0005243",0,36,12,18018,1,1
"GO:0005244",1,35,28,18002,0.0562468896383826,1
"GO:0005245",0,36,40,17990,1,1
"GO:0005246",0,36,27,18003,1,1
"GO:0005248",0,36,19,18011,1,1
"GO:0005249",0,36,45,17985,1,1
"GO:0005253",0,36,3,18027,1,1
"GO:0005261",0,36,20,18010,1,1
"GO:0005319",0,36,17,18013,1,1
"GO:0005326",0,36,6,18024,1,1
"GO:0005484",0,36,38,17992,1,1
"GO:0005509",2,34,692,17338,0.648728009958333,1
"GO:0005515",11,25,6144,11886,0.727542044536585,1
"GO:0005516",1,35,188,17842,0.315435289317379,1
"GO:0005544",0,36,45,17985,1,1
"GO:0005575",1,35,482,17548,0.623384359948458,1
"GO:0005576",1,35,1476,16554,0.362239864532941,1
"GO:0005578",0,36,244,17786,1,1
"GO:0005615",0,36,1294,16736,0.109570011966993,1
"GO:0005618",0,36,2,18028,1,1
"GO:0005622",2,34,532,17498,0.288148468256768,1
"GO:0005634",11,25,5114,12916,0.853226267603871,1
"GO:0005635",0,36,155,17875,1,1
"GO:0005654",7,29,2744,15286,0.484129812937906,1
"GO:0005694",0,36,95,17935,1,1
"GO:0005730",2,34,804,17226,0.674758155279137,1
"GO:0005737",16,20,4946,13084,0.0374357905754649,1
