"","GeneinGenome","GenenotinGO","GennomeinGO","GenomenotinGO","Fisher","FDR"
"GO:0042116",5,215,54,18568,0.000621808297854421,0.332045631054261
"GO:0001816",15,205,613,18009,0.0076536744295188,0.602007275517037
"GO:0005245",3,217,42,18580,0.0155431769806959,0.602007275517037
"GO:0005509",17,203,692,17930,0.00610304384440941,0.602007275517037
"GO:0007165",83,137,5623,12999,0.0180478897700005,0.602007275517037
"GO:0007399",37,183,2099,16523,0.0135212667985749,0.602007275517037
"GO:0009719",29,191,1501,17121,0.00878721201228665,0.602007275517037
"GO:0016070",71,149,4546,14076,0.00909137459430498,0.602007275517037
"GO:0019219",63,157,4018,14604,0.0134600546146512,0.602007275517037
"GO:0019221",13,207,543,18079,0.0152438747226646,0.602007275517037
"GO:0030154",58,162,3537,15085,0.00735009103354148,0.602007275517037
"GO:0032501",102,118,6828,11794,0.00383770711017248,0.602007275517037
"GO:0032502",88,132,5709,12913,0.00404103058212558,0.602007275517037
"GO:0044238",136,84,9990,8632,0.0171453934238885,0.602007275517037
"GO:0044707",85,135,5802,12820,0.0191650256250742,0.602007275517037
"GO:0050789",144,76,10652,7970,0.0136137848277552,0.602007275517037
"GO:0065009",46,174,2796,15826,0.0178180550027344,0.602007275517037
"GO:0008009",3,217,48,18574,0.0216822828046524,0.643241056538023
"GO:0005126",7,213,268,18354,0.0430396050604568,0.726633014835606
"GO:0005135",1,219,2,18620,0.0346225465571028,0.726633014835606
"GO:0005794",9,211,1439,17183,0.0413300257989404,0.726633014835606
"GO:0006351",56,164,3683,14939,0.0409818169639904,0.726633014835606
"GO:0006508",29,191,1625,16997,0.0298144604516284,0.726633014835606
"GO:0007010",6,214,1099,17523,0.042883994249271,0.726633014835606
"GO:0007154",87,133,6089,12533,0.0359510729931804,0.726633014835606
"GO:0007249",7,213,258,18364,0.0364217901579097,0.726633014835606
"GO:0016746",7,213,252,18370,0.0327941148616598,0.726633014835606
"GO:0034341",5,215,159,18463,0.0435435514508228,0.726633014835606
"GO:0035556",42,178,2588,16034,0.0311560934219252,0.726633014835606
"GO:0048731",62,158,4167,14455,0.0423310121324513,0.726633014835606
"GO:0050896",111,109,8081,10541,0.0399764570775408,0.726633014835606
"GO:0051090",9,211,362,18260,0.0429246087571569,0.726633014835606
"GO:0008150",206,14,16672,1950,0.0456521142981721,0.738734213188603
"GO:0016049",1,219,481,18141,0.0486658839927292,0.764340648591688
"GO:0019538",76,144,5295,13327,0.0506493037882969,0.772763663512874
"GO:0003676",59,161,3963,14659,0.0564604154464362,0.773073380728127
"GO:0006139",80,140,5646,12976,0.0553359790153052,0.773073380728127
"GO:0008380",9,211,393,18229,0.0554620617412775,0.773073380728127
"GO:0016192",25,195,1417,17205,0.0539723563277802,0.773073380728127
"GO:0000981",13,207,647,17975,0.0620900936924845,0.828178510164824
"GO:0005654",45,175,2946,15676,0.063719798563137,0.828178510164824
"GO:0005977",3,217,76,18546,0.0651376356309412,0.828178510164824
"GO:0005615",24,196,1381,17241,0.0687844130158325,0.851809632205828
"GO:0006996",27,193,3172,15450,0.0701865614551618,0.851809632205828
"GO:0005244",5,215,188,18434,0.0762305199722451,0.860247497053276
"GO:0006820",10,210,454,18168,0.0729999564301513,0.860247497053276
"GO:0007166",40,180,2595,16027,0.07791581161005,0.860247497053276
"GO:0008152",141,79,10817,7805,0.0741863046124852,0.860247497053276
"GO:0009008",1,219,6,18616,0.0789365680816676,0.860247497053276
"GO:0005488",168,52,13201,5421,0.0854716636147514,0.86116732774108
"GO:0040007",5,215,926,17696,0.0821674852984099,0.86116732774108
"GO:0051726",17,203,931,17691,0.0846876510735745,0.86116732774108
"GO:0065007",146,74,11279,7343,0.082926463014127,0.86116732774108
"GO:0003677",38,182,2489,16133,0.0912173398931477,0.885637445508016
"GO:0007605",4,216,141,18481,0.0902473564603507,0.885637445508016
"GO:0003674",201,19,16309,2313,0.0989612836944679,0.924836218128231
"GO:0005635",1,219,420,18202,0.100450375751755,0.924836218128231
"GO:0031386",1,219,8,18614,0.100328216675495,0.924836218128231
"GO:0008037",4,216,149,18473,0.104604854363927,0.946762580175199
"GO:0001071",20,200,1210,17412,0.1293654064857,0.965632882342449
"GO:0003678",2,218,50,18572,0.123305610483791,0.965632882342449
"GO:0003700",20,200,1209,17413,0.129131986343863,0.965632882342449
"GO:0003924",0,220,230,18392,0.119384913181477,0.965632882342449
"GO:0004520",2,218,51,18571,0.127200643287389,0.965632882342449
"GO:0005976",3,217,106,18516,0.135182103775899,0.965632882342449
"GO:0006357",28,192,1794,16828,0.134456047073821,0.965632882342449
"GO:0006397",9,211,466,18156,0.129381727454823,0.965632882342449
"GO:0006810",63,157,4509,14113,0.132901965249098,0.965632882342449
"GO:0006811",23,197,1411,17211,0.122984577139288,0.965632882342449
"GO:0006955",24,196,1509,17113,0.135622595834614,0.965632882342449
"GO:0009987",186,34,14950,3672,0.124486901071079,0.965632882342449
"GO:0015629",9,211,451,18171,0.11886349100724,0.965632882342449
"GO:0030312",1,219,10,18612,0.121225251363678,0.965632882342449
"GO:0043066",14,206,790,17832,0.128459397664437,0.965632882342449
"GO:0050790",35,185,2308,16314,0.122640652658864,0.965632882342449
"GO:0006950",51,169,3557,15065,0.142257756765359,0.986566780684439
"GO:0008143",1,219,12,18610,0.141639057504156,0.986566780684439
"GO:0000003",20,200,1315,17307,0.233986417482466,1
"GO:0000165",14,206,851,17771,0.194622607018561,1
"GO:0000166",33,187,2330,16292,0.260359590381573,1
"GO:0000228",8,212,530,18092,0.416145430700442,1
"GO:0000229",0,220,2,18620,1,1
"GO:0000375",6,214,299,18323,0.174827670642281,1
"GO:0000398",6,214,295,18327,0.169865017780063,1
"GO:0000910",2,218,135,18487,0.675691481393552,1
"GO:0000988",8,212,588,18034,0.695420989591824,1
"GO:0000989",8,212,584,18038,0.694474299406671,1
"GO:0000990",0,220,2,18620,1,1
"GO:0000991",0,220,1,18621,1,1
"GO:0000995",0,220,1,18621,1,1
"GO:0001007",0,220,1,18621,1,1
"GO:0001070",0,220,1,18621,1,1
"GO:0001076",1,219,137,18485,1,1
"GO:0001082",0,220,1,18621,1,1
"GO:0001167",0,220,1,18621,1,1
"GO:0001501",7,213,483,18139,0.520725776305839,1
"GO:0001525",6,214,411,18211,0.492336276310676,1
"GO:0001678",1,219,123,18499,1,1
"GO:0001906",1,219,105,18517,1,1
"GO:0002376",32,188,2348,16274,0.413270979130193,1
"GO:0002446",0,220,25,18597,1,1
"GO:0002447",0,220,6,18616,1,1
"GO:0002504",2,218,97,18525,0.321857839490869,1
"GO:0002560",0,220,1,18621,1,1
"GO:0003008",26,194,1962,16660,0.508304697511651,1
"GO:0003682",9,211,474,18148,0.190125371880789,1
"GO:0003684",1,219,60,18562,0.512067998607163,1
"GO:0003688",0,220,10,18612,1,1
"GO:0003690",13,207,777,17845,0.23168649991454,1
"GO:0003697",0,220,94,18528,0.630987833006524,1
"GO:0003712",6,214,533,18089,1,1
"GO:0003723",24,196,1605,17017,0.226983217646775,1
"GO:0003724",2,218,67,18555,0.192684708001451,1
"GO:0003729",3,217,165,18457,0.450595173373943,1
"GO:0003735",1,219,210,18412,0.524664716498407,1
"GO:0003743",1,219,51,18571,0.45749586792491,1
"GO:0003746",0,220,19,18603,1,1
"GO:0003747",0,220,7,18615,1,1
"GO:0003756",0,220,21,18601,1,1
"GO:0003774",3,217,131,18491,0.206460184913757,1
"GO:0003777",1,219,77,18545,0.600674364196765,1
"GO:0003779",3,217,390,18232,0.634379442667807,1
"GO:0003823",0,220,112,18510,0.644175707207514,1
"GO:0003824",66,154,5700,12922,0.88318446131269,1
"GO:0003887",0,220,28,18594,1,1
"GO:0003896",0,220,4,18618,1,1
"GO:0003899",0,220,42,18580,1,1
"GO:0003909",0,220,7,18615,1,1
"GO:0003916",0,220,7,18615,1,1
"GO:0003964",0,220,14,18608,1,1
"GO:0004016",0,220,10,18612,1,1
"GO:0004190",0,220,25,18597,1,1
"GO:0004383",0,220,8,18614,1,1
"GO:0004386",3,217,150,18472,0.265160484079327,1
"GO:0004518",4,216,204,18418,0.311614337808427,1
"GO:0004521",2,218,57,18565,0.151135505686717,1
"GO:0004529",0,220,17,18605,1,1
"GO:0004532",1,219,31,18591,0.313495928872515,1
"GO:0004553",1,219,93,18529,1,1
"GO:0004601",1,219,43,18579,0.403909491437155,1
"GO:0004620",1,219,96,18526,1,1
"GO:0004645",0,220,6,18616,1,1
"GO:0004672",9,211,632,17990,0.571018004732691,1
"GO:0004675",0,220,16,18606,1,1
"GO:0004714",0,220,64,18558,1,1
"GO:0004715",1,219,46,18576,0.42459540502132,1
"GO:0004721",3,217,175,18447,0.467116795077517,1
"GO:0004801",0,220,1,18621,1,1
"GO:0004802",0,220,3,18619,1,1
"GO:0004812",0,220,41,18581,1,1
"GO:0004842",5,215,414,18208,0.818870098023271,1
"GO:0004857",5,215,374,18248,0.632560536638772,1
"GO:0004867",1,219,95,18527,1,1
"GO:0004869",0,220,56,18566,1,1
"GO:0004871",24,196,1721,16901,0.4115086818036,1
"GO:0004872",23,197,1643,16979,0.401827393526119,1
"GO:0004879",1,219,47,18575,0.431330654337378,1
"GO:0004896",1,219,89,18533,1,1
"GO:0004904",0,220,5,18617,1,1
"GO:0004930",11,209,867,17755,0.747346249988952,1
"GO:0005024",0,220,9,18613,1,1
"GO:0005031",0,220,24,18598,1,1
"GO:0005085",6,214,306,18316,0.18395661962853,1
"GO:0005102",20,200,1439,17183,0.445370194853641,1
"GO:0005125",5,215,220,18402,0.194135578964957,1
"GO:0005132",0,220,17,18605,1,1
"GO:0005133",0,220,1,18621,1,1
"GO:0005134",0,220,5,18617,1,1
"GO:0005136",0,220,2,18620,1,1
"GO:0005137",0,220,2,18620,1,1
"GO:0005138",0,220,7,18615,1,1
"GO:0005139",0,220,1,18621,1,1
"GO:0005140",0,220,1,18621,1,1
"GO:0005141",0,220,1,18621,1,1
"GO:0005142",0,220,1,18621,1,1
"GO:0005143",0,220,5,18617,1,1
"GO:0005144",0,220,1,18621,1,1
"GO:0005160",0,220,50,18572,1,1
"GO:0005164",0,220,29,18593,1,1
"GO:0005165",0,220,13,18609,1,1
"GO:0005179",0,220,119,18503,0.651820260877261,1
"GO:0005184",0,220,31,18591,1,1
"GO:0005198",8,212,743,17879,1,1
"GO:0005200",0,220,107,18515,0.639473893306604,1
"GO:0005201",0,220,77,18545,1,1
"GO:0005215",13,207,1296,17326,0.68807295768317,1
"GO:0005216",8,212,421,18201,0.168500428061631,1
"GO:0005243",0,220,16,18606,1,1
"GO:0005246",0,220,36,18586,1,1
"GO:0005248",1,219,20,18602,0.218680696246754,1
"GO:0005249",1,219,89,18533,1,1
"GO:0005253",2,218,92,18530,0.300357927676635,1
"GO:0005261",6,214,299,18323,0.174827670642281,1
"GO:0005319",1,219,110,18512,1,1
"GO:0005326",0,220,25,18597,1,1
"GO:0005484",0,220,38,18584,1,1
"GO:0005515",110,110,8879,9743,0.498051295826441,1
"GO:0005516",3,217,188,18434,0.490914905527955,1
"GO:0005544",0,220,45,18577,1,1
"GO:0005575",212,8,17942,680,1,1
"GO:0005576",63,157,4531,14091,0.154751173546459,1
"GO:0005578",5,215,356,18266,0.617477611959995,1
"GO:0005618",0,220,2,18620,1,1
"GO:0005622",163,57,13930,4692,0.814835803774684,1
"GO:0005634",89,131,6887,11735,0.292760175737089,1
"GO:0005694",11,209,906,17716,0.874464863260848,1
"GO:0005730",14,206,831,17791,0.186408391943553,1
"GO:0005737",121,99,10548,8074,0.632501507598511,1
"GO:0005739",21,199,1634,16988,0.632803852444889,1
"GO:0005743",4,216,474,18148,0.665980593120735,1
"GO:0005764",4,216,530,18092,0.535954219438971,1
"GO:0005768",13,207,791,17831,0.236264404652963,1
"GO:0005773",16,204,1184,17438,0.577067811163984,1
"GO:0005777",1,219,128,18494,1,1
"GO:0005783",24,196,1627,16995,0.278615554614272,1
"GO:0005811",1,219,65,18557,0.539987268511767,1
"GO:0005815",7,213,629,17993,1,1
"GO:0005829",38,182,3327,15295,0.929409115365998,1
"GO:0005834",0,220,31,18591,1,1
"GO:0005840",1,219,226,18396,0.528192884937571,1
"GO:0005856",25,195,2009,16613,0.743399633681895,1
"GO:0005874",4,216,394,18228,1,1
"GO:0005886",65,155,5014,13608,0.400516750682895,1
"GO:0005902",2,218,73,18549,0.21826831614779,1
"GO:0005905",0,220,69,18553,1,1
"GO:0005921",0,220,30,18592,1,1
"GO:0005923",2,218,111,18511,0.381020284632721,1
"GO:0005929",8,212,495,18127,0.393372606140062,1
"GO:0005975",8,212,550,18072,0.544080957745199,1
"GO:0005984",0,220,10,18612,1,1
"GO:0005996",3,217,247,18375,0.768861864557895,1
"GO:0006091",5,215,352,18270,0.614470060947624,1
"GO:0006094",0,220,79,18543,1,1
"GO:0006096",0,220,67,18555,1,1
"GO:0006098",0,220,18,18604,1,1
"GO:0006099",0,220,28,18594,1,1
"GO:0006109",2,218,146,18476,0.692233058623369,1
"GO:0006119",1,219,97,18525,1,1
"GO:0006144",0,220,19,18603,1,1
"GO:0006206",0,220,19,18603,1,1
"GO:0006259",10,210,962,17660,0.877533510408538,1
"GO:0006260",3,217,287,18335,1,1
"GO:0006281",5,215,511,18111,0.836196178918095,1
"GO:0006308",1,219,32,18590,0.321525216254123,1
"GO:0006310",2,218,259,18363,0.773195227069136,1
"GO:0006325",13,207,743,17879,0.162740436131708,1
"GO:0006338",3,217,158,18464,0.440205726088552,1
"GO:0006366",28,192,1986,16636,0.322714995420234,1
"GO:0006367",2,218,173,18449,1,1
"GO:0006368",0,220,95,18527,0.631418550170968,1
"GO:0006369",0,220,62,18560,1,1
"GO:0006370",0,220,33,18589,1,1
"GO:0006378",1,219,39,18583,0.375172381123784,1
"GO:0006399",3,217,179,18443,0.474193398603648,1
"GO:0006401",4,216,241,18381,0.376389475780944,1
"GO:0006403",1,219,202,18420,0.735137601895138,1
"GO:0006412",7,213,637,17985,1,1
"GO:0006417",6,214,335,18287,0.299227838196634,1
"GO:0006418",0,220,47,18575,1,1
"GO:0006457",2,218,222,18400,1,1
"GO:0006461",13,207,1387,17235,0.439692932780544,1
"GO:0006464",49,171,3738,14884,0.398737987471285,1
"GO:0006468",24,196,1822,16800,0.567884299713164,1
"GO:0006471",0,220,22,18600,1,1
"GO:0006473",2,218,183,18439,1,1
"GO:0006479",2,218,163,18459,0.719195365827337,1
"GO:0006486",3,217,271,18351,1,1
"GO:0006497",1,219,83,18539,0.627958798473046,1
"GO:0006520",4,216,289,18333,0.588268376862233,1
"GO:0006521",1,219,54,18568,0.476330114511976,1
"GO:0006605",7,213,677,17945,0.85696926708105,1
"GO:0006629",12,208,1315,17307,0.426379035121766,1
"GO:0006631",6,214,357,18265,0.323699455418284,1
"GO:0006633",1,219,139,18483,1,1
"GO:0006635",2,218,71,18551,0.209702173637131,1
"GO:0006636",0,220,58,18564,1,1
"GO:0006637",1,219,92,18530,1,1
"GO:0006644",4,216,386,18236,1,1
"GO:0006732",2,218,299,18323,0.590288737471502,1
"GO:0006766",1,219,131,18491,1,1
"GO:0006778",0,220,36,18586,1,1
"GO:0006790",4,216,355,18267,1,1
"GO:0006796",37,183,3002,15620,0.782003557261924,1
"GO:0006807",89,131,6776,11846,0.230880944661236,1
"GO:0006809",1,219,63,18559,0.52901567396644,1
"GO:0006812",14,206,944,17678,0.354154647930402,1
"GO:0006817",0,220,23,18599,1,1
"GO:0006839",5,215,268,18354,0.254809899659509,1
"GO:0006858",0,220,1,18621,1,1
"GO:0006865",0,220,89,18533,0.629478383173437,1
"GO:0006869",4,216,313,18309,0.789298064217245,1
"GO:0006874",6,214,370,18252,0.458533303446484,1
"GO:0006886",13,207,1011,17611,0.76361568821403,1
"GO:0006887",5,215,389,18233,0.810032088313344,1
"GO:0006897",10,210,625,17997,0.342229769565168,1
"GO:0006898",2,218,286,18336,0.777907765726532,1
"GO:0006907",0,220,19,18603,1,1
"GO:0006909",4,216,238,18384,0.370488781392712,1
"GO:0006915",25,195,1765,16857,0.3535440978106,1
"GO:0006928",25,195,1741,16881,0.295160261239917,1
"GO:0006936",6,214,319,18303,0.285426942775221,1
"GO:0006956",2,218,85,18537,0.270092173791973,1
"GO:0006968",2,218,60,18562,0.163415240037764,1
"GO:0007005",8,212,624,17998,0.707573081945779,1
"GO:0007028",0,220,10,18612,1,1
"GO:0007041",1,219,77,18545,0.600674364196765,1
"GO:0007049",21,199,1663,16959,0.721251518553013,1
"GO:0007059",2,218,318,18304,0.594210048441487,1
"GO:0007067",3,217,429,18193,0.495760145347016,1
"GO:0007126",2,218,169,18453,1,1
"GO:0007155",24,196,1683,16939,0.343275634773992,1
"GO:0007160",2,218,193,18429,1,1
"GO:0007169",10,210,655,17967,0.359246999686983,1
"GO:0007178",3,217,307,18315,1,1
"GO:0007186",17,203,1252,17370,0.500097547728572,1
"GO:0007254",3,217,189,18433,0.492832532666349,1
"GO:0007259",3,217,164,18458,0.449046690211369,1
"GO:0007263",1,219,24,18598,0.254579540005927,1
"GO:0007267",20,200,1485,17137,0.530860025252983,1
"GO:0007268",7,213,588,18034,0.847472085269547,1
"GO:0007269",0,220,134,18488,0.412556948643031,1
"GO:0007270",1,219,127,18495,1,1
"GO:0007274",0,220,29,18593,1,1
"GO:0007276",11,209,607,18015,0.176552861644427,1
"GO:0007283",9,211,487,18135,0.196168607192056,1
"GO:0007292",1,219,105,18517,1,1
"GO:0007379",0,220,17,18605,1,1
"GO:0007389",4,216,433,18189,0.821672539750472,1
"GO:0007398",0,220,21,18601,1,1
"GO:0007492",1,219,76,18546,0.595937149859924,1
"GO:0007498",2,218,126,18496,0.663125405374202,1
"GO:0007507",4,216,493,18129,0.668787782062134,1
"GO:0007517",3,217,344,18278,0.801755267142698,1
"GO:0007530",0,220,23,18599,1,1
"GO:0007596",5,215,350,18272,0.613018358777952,1
"GO:0007600",15,205,946,17676,0.27710438733351,1
"GO:0007601",4,216,206,18416,0.314572683366573,1
"GO:0007606",7,213,522,18100,0.679184542512845,1
"GO:0007608",6,214,453,18169,0.660927043901551,1
"GO:0007610",10,210,540,18082,0.154141497616612,1
"GO:0007623",2,218,190,18432,1,1
"GO:0008015",8,212,484,18138,0.289137948813524,1
"GO:0008017",1,219,214,18408,0.5250080966118,1
"GO:0008047",9,211,482,18140,0.193642205543262,1
"GO:0008066",0,220,27,18595,1,1
"GO:0008081",1,219,90,18532,1,1
"GO:0008083",1,219,162,18460,1,1
"GO:0008092",7,213,837,17785,0.414996472120105,1
"GO:0008104",31,189,2379,16243,0.542585692344191,1
"GO:0008105",0,220,18,18604,1,1
"GO:0008135",1,219,88,18534,1,1
"GO:0008168",4,216,209,18413,0.319148651262384,1
"GO:0008173",1,219,54,18568,0.476330114511976,1
"GO:0008191",0,220,15,18607,1,1
"GO:0008202",3,217,273,18349,1,1
"GO:0008203",0,220,121,18501,0.408632439949596,1
"GO:0008206",1,219,43,18579,0.403909491437155,1
"GO:0008219",26,194,1892,16730,0.431325524127631,1
"GO:0008233",10,210,654,17968,0.35856892488341,1
"GO:0008234",3,217,187,18435,0.489008266485442,1
"GO:0008236",2,218,236,18386,1,1
"GO:0008237",4,216,186,18436,0.288729252074577,1
"GO:0008283",22,198,1899,16723,1,1
"GO:0008289",5,215,625,17997,0.567691158799173,1
"GO:0008324",8,212,602,18020,0.699400069816247,1
"GO:0008483",0,220,21,18601,1,1
"GO:0008643",2,218,187,18435,1,1
"GO:0008652",1,219,64,18558,0.534533649881201,1
"GO:0009055",2,218,114,18508,0.393430243523982,1
"GO:0009056",26,194,1950,16672,0.506257355145847,1
"GO:0009058",76,144,6167,12455,0.665789019182734,1
"GO:0009063",1,219,81,18541,0.619076714531674,1
"GO:0009110",0,220,22,18600,1,1
"GO:0009111",0,220,10,18612,1,1
"GO:0009187",3,217,183,18439,0.481498611940387,1
"GO:0009295",1,219,43,18579,0.403909491437155,1
"GO:0009299",0,220,20,18602,1,1
"GO:0009566",2,218,164,18458,0.72080609220065,1
"GO:0009605",25,195,1996,16626,0.742150551032875,1
"GO:0009607",10,210,839,17783,0.870811090156482,1
"GO:0009628",15,205,1064,17558,0.464162064762272,1
"GO:0009636",3,217,202,18420,0.518611441911475,1
"GO:0009653",36,184,2507,16115,0.232657621505872,1
"GO:0009790",11,209,935,17687,1,1
"GO:0009948",1,219,48,18574,0.437987420116125,1
"GO:0009950",0,220,21,18601,1,1
"GO:0015031",25,195,1795,16827,0.359742467864297,1
"GO:0015078",1,219,106,18516,1,1
"GO:0015144",0,220,44,18578,1,1
"GO:0015171",0,220,76,18546,1,1
"GO:0015276",1,219,143,18479,1,1
"GO:0015459",0,220,45,18577,1,1
"GO:0015464",0,220,24,18598,1,1
"GO:0015925",0,220,7,18615,1,1
"GO:0015926",0,220,12,18610,1,1
"GO:0015931",0,220,203,18419,0.180883151143089,1
"GO:0016020",107,113,8982,9640,0.945923239230088,1
"GO:0016021",63,157,5329,13293,1,1
"GO:0016023",14,206,1158,17464,0.888144588915581,1
"GO:0016032",10,210,942,17680,0.876888216561325,1
"GO:0016043",62,158,5870,12752,0.307240436600005,1
"GO:0016072",2,218,266,18356,0.773771213283655,1
"GO:0016079",0,220,77,18545,1,1
"GO:0016160",0,220,6,18616,1,1
"GO:0016209",1,219,77,18545,0.600674364196765,1
"GO:0016247",0,220,128,18494,0.409841097947534,1
"GO:0016298",1,219,120,18502,1,1
"GO:0016301",11,209,834,17788,0.624474321616762,1
"GO:0016337",11,209,710,17912,0.372396117187945,1
"GO:0016407",2,218,102,18520,0.343192592610988,1
"GO:0016462",9,211,794,17828,1,1
"GO:0016491",9,211,725,17897,0.859910841288252,1
"GO:0016740",29,191,2311,16311,0.681822428961905,1
"GO:0016757",2,218,278,18344,0.775836883765583,1
"GO:0016779",1,219,132,18490,1,1
"GO:0016787",28,192,2448,16174,0.920270548595616,1
"GO:0016788",9,211,733,17889,0.860901305108161,1
"GO:0016791",3,217,271,18351,1,1
"GO:0016799",0,220,22,18600,1,1
"GO:0016829",0,220,170,18452,0.272828775181924,1
"GO:0016831",0,220,36,18586,1,1
"GO:0016832",0,220,9,18613,1,1
"GO:0016836",0,220,49,18573,1,1
"GO:0016853",0,220,151,18471,0.427406902513686,1
"GO:0016854",0,220,15,18607,1,1
"GO:0016866",0,220,26,18596,1,1
"GO:0016874",2,218,371,18251,0.333653976232369,1
"GO:0016917",0,220,22,18600,1,1
"GO:0017080",0,220,33,18589,1,1
"GO:0017081",0,220,17,18605,1,1
"GO:0019104",0,220,14,18608,1,1
"GO:0019199",0,220,80,18542,1,1
"GO:0019200",0,220,20,18602,1,1
"GO:0019201",1,219,24,18598,0.254579540005927,1
"GO:0019202",0,220,1,18621,1,1
"GO:0019203",0,220,10,18612,1,1
"GO:0019207",4,216,187,18435,0.289807205749914,1
"GO:0019208",0,220,86,18536,0.629127067535433,1
"GO:0019209",2,218,67,18555,0.192684708001451,1
"GO:0019210",2,218,88,18534,0.283077720096702,1
"GO:0019211",0,220,11,18611,1,1
"GO:0019212",0,220,38,18584,1,1
"GO:0019213",1,219,53,18569,0.470125495015672,1
"GO:0019215",1,219,14,18608,0.161580759553583,1
"GO:0019220",20,200,1578,17044,0.714784935057059,1
"GO:0019227",0,220,7,18615,1,1
"GO:0019229",1,219,58,18564,0.500433664962218,1
"GO:0019233",0,220,91,18531,0.62994909331954,1
"GO:0019236",0,220,9,18613,1,1
"GO:0019237",0,220,7,18615,1,1
"GO:0019239",0,220,33,18589,1,1
"GO:0019722",2,218,146,18476,0.692233058623369,1
"GO:0019724",1,219,131,18491,1,1
"GO:0019740",0,220,9,18613,1,1
"GO:0019748",0,220,57,18565,1,1
"GO:0019763",0,220,5,18617,1,1
"GO:0019814",0,220,26,18596,1,1
"GO:0019825",0,220,47,18575,1,1
"GO:0019882",3,217,223,18399,0.749459635853857,1
"GO:0019911",0,220,5,18617,1,1
"GO:0022602",2,218,82,18540,0.257101610694952,1
"GO:0022610",24,196,1689,16933,0.344391134938787,1
"GO:0022857",12,208,1010,17612,0.881684152064453,1
"GO:0022904",1,219,93,18529,1,1
"GO:0030054",16,204,1358,17264,1,1
"GO:0030097",11,209,705,17917,0.370583346590388,1
"GO:0030101",1,219,74,18548,0.586294245831694,1
"GO:0030120",1,219,46,18576,0.42459540502132,1
"GO:0030234",14,206,968,17654,0.442926313920261,1
"GO:0030246",5,215,251,18371,0.229170623518462,1
"GO:0030313",0,220,8,18614,1,1
"GO:0030337",0,220,2,18620,1,1
"GO:0030380",0,220,1,18621,1,1
"GO:0030414",2,218,178,18444,1,1
"GO:0030424",4,216,401,18221,1,1
"GO:0030425",7,213,456,18166,0.504913727468537,1
"GO:0030529",11,209,743,17879,0.388875810482958,1
"GO:0030545",0,220,44,18578,1,1
"GO:0030546",0,220,30,18592,1,1
"GO:0030547",0,220,13,18609,1,1
"GO:0030879",2,218,127,18495,0.664466635957316,1
"GO:0031012",8,212,523,18099,0.410710763772861,1
"GO:0031124",1,219,85,18537,1,1
"GO:0031201",0,220,53,18569,1,1
"GO:0031497",0,220,160,18462,0.269464869886536,1
"GO:0031594",0,220,54,18568,1,1
"GO:0032393",0,220,9,18613,1,1
"GO:0032394",0,220,2,18620,1,1
"GO:0032395",0,220,10,18612,1,1
"GO:0032543",0,220,120,18502,0.408644974026948,1
"GO:0032791",0,220,1,18621,1,1
"GO:0032989",12,208,1179,17443,0.677498629920964,1
"GO:0032991",64,156,4726,13896,0.212939466165805,1
"GO:0032993",1,219,173,18449,0.726585717481696,1
"GO:0040011",23,197,1494,17128,0.210538777192519,1
"GO:0040029",5,215,256,18366,0.236300824551918,1
"GO:0042175",11,209,1004,17618,1,1
"GO:0042558",1,219,33,18589,0.329461015734377,1
"GO:0042592",20,200,1585,17037,0.715736943916917,1
