"","GeneinGenome","GenenotinGO","GennomeinGO","GenomenotinGO","Fisher","FDR"
"GO:0009653",70,223,2507,16115,1.79490122482563e-06,0.000958477254056888
"GO:0005578",19,274,356,18266,6.73477723975724e-06,0.00119879034867679
"GO:0031012",24,269,523,18099,4.99298443540793e-06,0.00119879034867679
"GO:0032502",126,167,5709,12913,9.94737556999152e-06,0.00132797463859387
"GO:0007155",49,244,1683,16939,3.51966230042683e-05,0.00328593013992333
"GO:0022610",49,244,1689,16933,3.69205633699251e-05,0.00328593013992333
"GO:0048731",95,198,4167,14455,9.71948006845618e-05,0.00741457479507943
"GO:0040007",31,262,926,17696,0.000118538262686943,0.00774865222286031
"GO:0044707",123,170,5802,12820,0.000130595262183039,0.00774865222286031
"GO:0016049",19,274,481,18141,0.000315875938665109,0.0168677751247168
"GO:0006928",47,246,1741,16881,0.00037158726955725,0.0173830653542555
"GO:0007507",19,274,493,18129,0.000423183238961277,0.0173830653542555
"GO:0030154",81,212,3537,15085,0.000404267516454698,0.0173830653542555
"GO:0032501",136,157,6828,11794,0.000762034568278728,0.0290661756757743
"GO:0040011",40,253,1494,17128,0.00110596689854791,0.0393724215883055
"GO:0001501",17,276,483,18139,0.00251414747602479,0.0839096720123272
"GO:0005509",22,271,692,17930,0.00272084019920477,0.0854663921397264
"GO:0050790",54,239,2308,16314,0.00315565485753569,0.0936177607735587
"GO:0001525",15,278,411,18211,0.00397465902675015,0.111708837909715
"GO:0065009",62,231,2796,15826,0.00505875431892636,0.135068740315334
"GO:0005576",92,201,4531,14091,0.00611516365176149,0.155499875716221
"GO:0005201",5,288,77,18545,0.00891514337608235,0.170024520100999
"GO:0005743",1,292,474,18148,0.00789072627803954,0.170024520100999
"GO:0006468",43,250,1822,16800,0.0075133077356708,0.170024520100999
"GO:0007492",5,288,76,18546,0.00847614831432625,0.170024520100999
"GO:0008009",4,289,48,18574,0.00852222919133941,0.170024520100999
"GO:0051090",13,280,362,18260,0.00860538414507083,0.170024520100999
"GO:0051179",111,182,5684,12938,0.00869731975703301,0.170024520100999
"GO:0005125",9,284,220,18402,0.00962303108326477,0.177196503395289
"GO:0007166",57,236,2595,16027,0.0106421516437747,0.183319644444378
"GO:0016192",35,258,1417,17205,0.0103671866298664,0.183319644444378
"GO:0008283",43,250,1899,16723,0.0151882528912661,0.253453970123003
"GO:0002376",51,242,2348,16274,0.0168825794646351,0.273190831336823
"GO:0000228",2,291,530,18092,0.0192815078992167,0.302833094652403
"GO:0005102",34,259,1439,17183,0.0202675652554441,0.309225138468776
"GO:0005488",225,68,13201,5421,0.0273483424889162,0.367275208805241
"GO:0005783",37,256,1627,16995,0.0281990328857957,0.367275208805241
"GO:0005905",4,289,69,18553,0.0266693899537348,0.367275208805241
"GO:0007517",11,282,344,18278,0.0267746195491746,0.367275208805241
"GO:0016854",2,291,15,18607,0.0279018112492527,0.367275208805241
"GO:0050896",146,147,8081,10541,0.0280891614381398,0.367275208805241
"GO:0030097",19,274,705,17917,0.0294727460268533,0.374724913769992
"GO:0005245",3,290,42,18580,0.0323668302191025,0.395106179978476
"GO:0005516",7,286,188,18434,0.0325901225994594,0.395106179978476
"GO:0007178",10,283,307,18315,0.0332954646049277,0.395106179978476
"GO:0005794",33,260,1439,17183,0.0356991036126742,0.397519292305361
"GO:0016853",6,287,151,18471,0.0357320712184594,0.397519292305361
