"","GeneinGenome","GenenotinGO","GennomeinGO","GenomenotinGO","Fisher","FDR"
"GO:0009987",1060,157,14950,3672,1.39340180869901e-09,7.44076565845271e-07
"GO:0003723",165,1052,1605,17017,3.24630776130011e-08,8.66764172267128e-06
"GO:0043226",920,297,12881,5741,1.61853036975409e-06,0.000288098405816229
"GO:0008150",1137,80,16672,1950,5.31247284931664e-06,0.000709215125383771
"GO:0006996",270,947,3172,15450,8.11867163327843e-06,0.000867074130434136
"GO:0044238",732,485,9990,8632,1.09158593891059e-05,0.000971511485630425
"GO:0008152",784,433,10817,7805,1.31545817785129e-05,0.0010035066671037
"GO:0005488",930,287,13201,5421,2.83496604044415e-05,0.00189233983199647
"GO:0000166",204,1013,2330,16292,3.60091572805826e-05,0.00213654333198123
"GO:0016043",452,765,5870,12752,6.21187341828855e-05,0.00331714040536608
"GO:0003676",318,899,3963,14659,0.000100670746173125,0.00392488236388014
"GO:0005622",971,246,13930,4692,8.17323218214884e-05,0.00392488236388014
"GO:0006807",511,706,6776,11846,9.65054071709686e-05,0.00392488236388014
"GO:0071840",460,757,6020,12602,0.000102899537629816,0.00392488236388014
"GO:0005737",758,459,10548,8074,0.000114685149363629,0.00408279131734518
"GO:0006139",433,784,5646,12976,0.000150471222923247,0.00502197706506335
"GO:0005515",645,572,8879,9743,0.000337206079438038,0.0105922380247007
"GO:0007606",15,1202,522,18100,0.000485504487402528,0.0144032997929417
"GO:0016070",352,865,4546,14076,0.000523791002164065,0.0145268854366916
"GO:0065007",798,419,11279,7343,0.00054407810624313,0.0145268854366916
"GO:0009058",461,756,6167,12455,0.000703653029726459,0.01789289132733
"GO:0005730",80,1137,831,17791,0.0011144698186764,0.0266225726634161
"GO:0006368",16,1201,95,18527,0.0011965201197041,0.0266225726634161
"GO:0007608",13,1204,453,18169,0.00118160631393383,0.0266225726634161
"GO:0003674",1103,114,16309,2313,0.0013306238688397,0.028422125838416
"GO:0007010",100,1117,1099,17523,0.00152015187239534,0.0312215807638121
"GO:0004930",34,1183,867,17755,0.00171294453201893,0.0338782362999299
"GO:0005654",234,983,2946,15676,0.00215811615069833,0.0411583580168897
"GO:0005783",138,1079,1627,16995,0.00300190480384683,0.0552764539742831
"GO:0016032",86,1131,942,17680,0.00324302448362224,0.0577258358084759
"GO:0016462",74,1143,794,17828,0.00376536065138577,0.0648613738012903
"GO:0032991",355,862,4726,13896,0.00394288024693608,0.0657968141207459
"GO:0008236",5,1212,236,18386,0.00433825412228925,0.0702008394334079
