"","GeneinGenome","GenenotinGO","GennomeinGO","GenomenotinGO","Fisher","FDR"
"GO:0007399",11,205,275,17755,0.000628065557119093,0.335387007501596
"GO:0000003",0,216,2,18028,1,1
"GO:0000165",6,210,258,17772,0.136486968068564,1
"GO:0000166",8,208,308,17722,0.0348959110848968,1
"GO:0000228",0,216,49,17981,1,1
"GO:0000375",0,216,25,18005,1,1
"GO:0000398",4,212,218,17812,0.339060906737764,1
"GO:0000910",1,215,47,17983,0.435811168824449,1
"GO:0000981",4,212,161,17869,0.13259818164577,1
"GO:0000988",0,216,5,18025,1,1
"GO:0000989",1,215,13,18017,0.153617207857877,1
"GO:0000991",0,216,1,18029,1,1
"GO:0001070",0,216,1,18029,1,1
"GO:0001071",0,216,2,18028,1,1
"GO:0001076",0,216,13,18017,1,1
"GO:0001501",2,214,135,17895,0.678455774393168,1
"GO:0001525",1,215,216,17814,0.525879835129888,1
"GO:0001678",0,216,13,18017,1,1
"GO:0001816",2,214,22,18008,0.0324516195543635,1
"GO:0002376",0,216,27,18003,1,1
"GO:0002446",0,216,9,18021,1,1
"GO:0002504",0,216,1,18029,1,1
"GO:0003674",9,207,735,17295,0.862624480612796,1
"GO:0003676",2,214,165,17865,0.726157996178151,1
"GO:0003677",26,190,1421,16609,0.030651747388952,1
"GO:0003678",1,215,17,18013,0.193022631241731,1
"GO:0003682",9,207,361,17669,0.0441879151567103,1
"GO:0003684",1,215,58,17972,0.505272136669299,1
"GO:0003688",0,216,10,18020,1,1
"GO:0003690",1,215,72,17958,0.581498785367,1
"GO:0003697",0,216,85,17945,0.62908992637618,1
"GO:0003700",13,203,856,17174,0.336980483645207,1
"GO:0003712",2,214,65,17965,0.188157100622749,1
"GO:0003723",5,211,438,17592,1,1
"GO:0003724",1,215,11,18019,0.133202108100814,1
"GO:0003729",2,214,111,17919,0.387542278464662,1
"GO:0003735",1,215,210,17820,0.524800868990257,1
"GO:0003743",1,215,51,17979,0.462126565797566,1
"GO:0003746",0,216,19,18011,1,1
"GO:0003747",0,216,4,18026,1,1
"GO:0003756",0,216,21,18009,1,1
"GO:0003774",2,214,47,17983,0.114374208629477,1
"GO:0003777",0,216,67,17963,1,1
"GO:0003779",3,213,281,17749,1,1
"GO:0003823",0,216,66,17964,1,1
"GO:0003824",1,215,53,17977,0.474822417816905,1
"GO:0003887",0,216,28,18002,1,1
"GO:0003896",0,216,4,18026,1,1
"GO:0003899",0,216,22,18008,1,1
"GO:0003909",0,216,4,18026,1,1
"GO:0003916",0,216,2,18028,1,1
"GO:0003924",0,216,230,17800,0.11980941197053,1
"GO:0003964",0,216,8,18022,1,1
"GO:0004016",0,216,10,18020,1,1
"GO:0004190",0,216,20,18010,1,1
"GO:0004383",0,216,8,18022,1,1
"GO:0004386",1,215,49,17981,0.449125254231034,1
"GO:0004518",1,215,13,18017,0.153617207857877,1
"GO:0004520",1,215,21,18009,0.230601537109394,1
"GO:0004521",1,215,17,18013,0.193022631241731,1
"GO:0004532",1,215,5,18025,0.0689691771484335,1
"GO:0004553",0,216,5,18025,1,1
"GO:0004601",1,215,20,18010,0.221373369638443,1
"GO:0004620",0,216,11,18019,1,1
"GO:0004645",0,216,2,18028,1,1
"GO:0004672",2,214,191,17839,1,1
"GO:0004675",0,216,7,18023,1,1
"GO:0004714",0,216,30,18000,1,1
"GO:0004715",1,215,46,17984,0.429034502665637,1
"GO:0004721",0,216,37,17993,1,1
"GO:0004801",0,216,1,18029,1,1
"GO:0004802",0,216,3,18027,1,1
"GO:0004842",3,213,320,17710,1,1
"GO:0004857",0,216,26,18004,1,1
"GO:0004867",1,215,95,17935,1,1
"GO:0004869",0,216,34,17996,1,1
"GO:0004871",5,211,194,17836,0.0881127015127336,1
"GO:0004872",5,211,197,17833,0.092463873486065,1
"GO:0004879",1,215,34,17996,0.341111258769146,1
"GO:0004896",0,216,21,18009,1,1
"GO:0004904",0,216,1,18029,1,1
"GO:0004930",8,208,654,17376,0.854938248473587,1
"GO:0005024",0,216,6,18024,1,1
"GO:0005031",0,216,24,18006,1,1
"GO:0005085",2,214,109,17921,0.379129758940955,1
"GO:0005102",4,212,336,17694,1,1
"GO:0005125",3,213,174,17856,0.469629054907094,1
"GO:0005126",0,216,13,18017,1,1
"GO:0005132",0,216,17,18013,1,1
"GO:0005133",0,216,1,18029,1,1
"GO:0005134",0,216,5,18025,1,1
"GO:0005135",1,215,2,18028,0.0350977634572974,1
"GO:0005136",0,216,2,18028,1,1
"GO:0005137",0,216,2,18028,1,1
"GO:0005138",0,216,7,18023,1,1
"GO:0005139",0,216,1,18029,1,1
"GO:0005140",0,216,1,18029,1,1
"GO:0005141",0,216,1,18029,1,1
"GO:0005142",0,216,1,18029,1,1
"GO:0005143",0,216,5,18025,1,1
"GO:0005144",0,216,1,18029,1,1
"GO:0005160",0,216,42,17988,1,1
"GO:0005164",0,216,29,18001,1,1
"GO:0005179",0,216,92,17938,0.630659572652545,1
"GO:0005184",0,216,30,18000,1,1
"GO:0005198",5,211,216,17814,0.193285621631163,1
"GO:0005200",0,216,107,17923,0.64076291991478,1
"GO:0005201",0,216,62,17968,1,1
"GO:0005215",0,216,135,17895,0.414298551742193,1
"GO:0005216",0,216,15,18015,1,1
"GO:0005243",0,216,12,18018,1,1
"GO:0005244",1,215,28,18002,0.292220895493395,1
"GO:0005245",3,213,40,17990,0.0142598150915252,1
"GO:0005246",0,216,27,18003,1,1
"GO:0005248",1,215,19,18011,0.212035038036105,1
"GO:0005249",0,216,45,17985,1,1
"GO:0005253",0,216,3,18027,1,1
"GO:0005261",0,216,20,18010,1,1
"GO:0005319",0,216,17,18013,1,1
"GO:0005326",0,216,6,18024,1,1
"GO:0005484",0,216,38,17992,1,1
"GO:0005509",17,199,692,17338,0.00647474427318646,1
"GO:0005515",80,136,6144,11886,0.386317478699543,1
"GO:0005516",3,213,188,17842,0.495995636843011,1
"GO:0005544",0,216,45,17985,1,1
"GO:0005575",6,210,482,17548,0.831409402618554,1
"GO:0005576",20,196,1476,16554,0.532985900658203,1
"GO:0005578",2,214,244,17786,1,1
"GO:0005615",22,194,1294,16736,0.110029763952181,1
"GO:0005618",0,216,2,18028,1,1
"GO:0005622",5,211,532,17498,0.837916783300366,1
"GO:0005634",73,143,5114,12916,0.0811625915458988,1
"GO:0005635",1,215,155,17875,1,1
"GO:0005654",43,173,2744,15286,0.0698137372944905,1
"GO:0005694",2,214,95,17935,0.319065769214991,1
"GO:0005730",14,202,804,17226,0.181436130539061,1
"GO:0005737",64,152,4946,13084,0.490089130583216,1
"GO:0005739",16,200,1221,16809,0.682373583190617,1
"GO:0005743",4,212,412,17618,1,1
"GO:0005764",1,215,213,17817,0.52523576392797,1
"GO:0005768",2,214,212,17818,1,1
"GO:0005773",0,216,15,18015,1,1
"GO:0005777",0,216,97,17933,0.633108727989315,1
"GO:0005783",12,204,784,17246,0.398430878108358,1
"GO:0005794",4,212,798,17232,0.0658603187246929,1
"GO:0005811",1,215,65,17965,0.544971515887334,1
"GO:0005815",1,215,135,17895,1,1
"GO:0005829",37,179,3254,14776,0.78969705629692,1
"GO:0005834",0,216,31,17999,1,1
"GO:0005840",0,216,55,17975,1,1
"GO:0005856",2,214,331,17699,0.445663444152154,1
"GO:0005874",4,212,287,17743,0.780106874477391,1
"GO:0005886",49,167,3988,14042,0.868986607425669,1
"GO:0005902",2,214,57,17973,0.15445910026342,1
"GO:0005905",0,216,55,17975,1,1
"GO:0005921",0,216,15,18015,1,1
"GO:0005923",2,214,111,17919,0.387542278464662,1
"GO:0005929",0,216,118,17912,0.652542952919672,1
"GO:0005975",2,214,123,17907,0.661427154200322,1
"GO:0005976",0,216,2,18028,1,1
"GO:0005977",0,216,26,18004,1,1
"GO:0005984",0,216,1,18029,1,1
"GO:0005996",0,216,1,18029,1,1
"GO:0006091",0,216,52,17978,1,1
"GO:0006094",0,216,44,17986,1,1
"GO:0006096",0,216,24,18006,1,1
"GO:0006098",0,216,11,18019,1,1
"GO:0006099",0,216,28,18002,1,1
"GO:0006119",0,216,12,18018,1,1
"GO:0006139",0,216,34,17996,1,1
"GO:0006144",0,216,5,18025,1,1
"GO:0006206",0,216,6,18024,1,1
"GO:0006259",0,216,22,18008,1,1
"GO:0006260",1,215,139,17891,1,1
"GO:0006281",3,213,196,17834,0.512041257736683,1
"GO:0006308",0,216,6,18024,1,1
"GO:0006310",1,215,69,17961,0.56621599907161,1
"GO:0006325",0,216,39,17991,1,1
"GO:0006338",3,213,81,17949,0.0777479825565088,1
"GO:0006351",34,182,1786,16244,0.00807403470071186,1
"GO:0006357",8,208,401,17629,0.157333709884012,1
"GO:0006366",9,207,509,17521,0.215524306658562,1
"GO:0006367",2,214,150,17880,0.701786069001601,1
"GO:0006368",0,216,83,17947,1,1
"GO:0006369",0,216,62,17968,1,1
"GO:0006370",0,216,33,17997,1,1
"GO:0006378",1,215,28,18002,0.292220895493395,1
"GO:0006397",3,213,160,17870,0.446358482911813,1
"GO:0006399",0,216,2,18028,1,1
"GO:0006401",0,216,21,18009,1,1
"GO:0006403",0,216,2,18028,1,1
"GO:0006412",1,215,219,17811,0.526726839945771,1
"GO:0006417",0,216,51,17979,1,1
"GO:0006418",0,216,36,17994,1,1
"GO:0006457",2,214,164,17866,0.724521895175078,1
"GO:0006461",1,215,115,17915,1,1
"GO:0006464",3,213,92,17938,0.103041281860783,1
"GO:0006468",6,210,441,17589,0.657213490089357,1
"GO:0006471",0,216,17,18013,1,1
"GO:0006473",0,216,9,18021,1,1
"GO:0006479",0,216,19,18011,1,1
"GO:0006486",0,216,76,17954,1,1
"GO:0006497",0,216,10,18020,1,1
"GO:0006508",7,209,458,17572,0.509036651526287,1
"GO:0006520",0,216,30,18000,1,1
"GO:0006521",1,215,51,17979,0.462126565797566,1
"GO:0006605",0,216,34,17996,1,1
"GO:0006629",0,216,126,17904,0.409692927748978,1
"GO:0006631",1,215,48,17982,0.442507772161845,1
"GO:0006633",1,215,40,17990,0.386639037685365,1
"GO:0006635",1,215,40,17990,0.386639037685365,1
"GO:0006636",0,216,15,18015,1,1
"GO:0006637",0,216,17,18013,1,1
"GO:0006644",1,215,48,17982,0.442507772161845,1
"GO:0006766",0,216,7,18023,1,1
"GO:0006778",0,216,2,18028,1,1
"GO:0006790",0,216,16,18014,1,1
"GO:0006796",0,216,17,18013,1,1
"GO:0006807",0,216,9,18021,1,1
"GO:0006809",0,216,13,18017,1,1
"GO:0006810",4,212,288,17742,0.780459915794396,1
"GO:0006811",1,215,104,17926,1,1
"GO:0006812",0,216,22,18008,1,1
"GO:0006817",0,216,7,18023,1,1
"GO:0006820",0,216,14,18016,1,1
"GO:0006839",0,216,13,18017,1,1
"GO:0006865",0,216,33,17997,1,1
"GO:0006869",0,216,68,17962,1,1
"GO:0006874",2,214,88,17942,0.288485874358293,1
"GO:0006886",6,210,205,17825,0.0399293352267358,1
"GO:0006887",1,215,71,17959,0.576465025351367,1
"GO:0006897",4,212,130,17900,0.0750783881122434,1
"GO:0006898",2,214,148,17882,0.698590139443921,1
"GO:0006907",0,216,4,18026,1,1
"GO:0006909",1,215,45,17985,0.422176820980572,1
"GO:0006915",6,210,525,17505,1,1
"GO:0006928",0,216,85,17945,0.62908992637618,1
"GO:0006936",1,215,104,17926,1,1
"GO:0006950",0,216,57,17973,1,1
"GO:0006955",8,208,341,17689,0.0714855505425584,1
"GO:0006956",2,214,51,17979,0.13007234940965,1
"GO:0006968",2,214,60,17970,0.166961572523834,1
"GO:0006996",0,216,14,18016,1,1
"GO:0007005",2,214,69,17961,0.20536575182044,1
"GO:0007010",1,215,155,17875,1,1
"GO:0007028",0,216,4,18026,1,1
"GO:0007041",0,216,12,18018,1,1
"GO:0007049",3,213,196,17834,0.512041257736683,1
"GO:0007059",1,215,64,17966,0.539500536061654,1
"GO:0007067",1,215,237,17793,0.535720577559862,1
"GO:0007126",0,216,24,18006,1,1
"GO:0007154",0,216,28,18002,1,1
"GO:0007155",5,211,409,17621,0.81913750277109,1
"GO:0007160",0,216,89,17941,0.629703497325638,1
"GO:0007165",19,197,1064,16966,0.0808618591390795,1
"GO:0007166",1,215,266,17764,0.382983976377826,1
"GO:0007169",1,215,87,17943,1,1
"GO:0007178",0,216,12,18018,1,1
"GO:0007186",13,203,867,17163,0.421218940320639,1
"GO:0007249",2,214,59,17971,0.162774127656631,1
"GO:0007254",1,215,46,17984,0.429034502665637,1
"GO:0007259",1,215,30,18000,0.308906198016436,1
"GO:0007263",0,216,19,18011,1,1
"GO:0007267",4,212,248,17782,0.546754223967013,1
"GO:0007268",4,212,235,17795,0.371071245499081,1
"GO:0007269",0,216,50,17980,1,1
"GO:0007270",0,216,6,18024,1,1
"GO:0007274",0,216,26,18004,1,1
"GO:0007276",0,216,17,18013,1,1
"GO:0007283",7,209,369,17661,0.22021438452147,1
"GO:0007292",0,216,16,18014,1,1
"GO:0007379",0,216,7,18023,1,1
"GO:0007389",0,216,28,18002,1,1
"GO:0007398",0,216,13,18017,1,1
"GO:0007492",0,216,20,18010,1,1
"GO:0007498",0,216,32,17998,1,1
"GO:0007507",3,213,170,17860,0.46261378662373,1
"GO:0007517",1,215,87,17943,1,1
"GO:0007530",0,216,6,18024,1,1
"GO:0007596",1,215,182,17848,0.728396841263683,1
"GO:0007600",0,216,12,18018,1,1
"GO:0007601",4,212,197,17833,0.305578340105141,1
"GO:0007605",4,212,132,17898,0.0783176801082693,1
"GO:0007606",0,216,9,18021,1,1
"GO:0007608",1,215,154,17876,1,1
"GO:0007610",0,216,5,18025,1,1
"GO:0007623",1,215,73,17957,0.586472992287196,1
"GO:0008009",3,213,48,17982,0.0224674983219661,1
"GO:0008015",1,215,43,17987,0.408214543663957,1
"GO:0008017",1,215,204,17826,0.737664000171029,1
"GO:0008037",0,216,22,18008,1,1
"GO:0008047",0,216,47,17983,1,1
"GO:0008066",0,216,11,18019,1,1
"GO:0008081",0,216,8,18022,1,1
"GO:0008083",1,215,162,17868,1,1
"GO:0008092",0,216,48,17982,1,1
"GO:0008104",2,214,55,17975,0.146231090512111,1
"GO:0008105",0,216,4,18026,1,1
"GO:0008135",0,216,27,18003,1,1
"GO:0008143",1,215,12,18018,0.1434701976396,1
"GO:0008150",9,207,642,17388,0.578516767458647,1
"GO:0008152",0,216,42,17988,1,1
"GO:0008168",1,215,49,17981,0.449125254231034,1
"GO:0008173",0,216,11,18019,1,1
"GO:0008191",0,216,15,18015,1,1
"GO:0008202",0,216,39,17991,1,1
"GO:0008203",0,216,64,17966,1,1
"GO:0008206",1,215,16,18014,0.183345891573059,1
"GO:0008219",0,216,37,17993,1,1
"GO:0008233",1,215,70,17960,0.571371002603769,1
"GO:0008234",0,216,29,18001,1,1
"GO:0008236",0,216,60,17970,1,1
"GO:0008237",1,215,59,17971,0.511147829113321,1
"GO:0008283",0,216,355,17675,0.0239287843465117,1
"GO:0008289",1,215,135,17895,1,1
"GO:0008324",0,216,5,18025,1,1
"GO:0008380",2,214,155,17875,0.709848849325173,1
"GO:0008483",0,216,5,18025,1,1
"GO:0008643",0,216,18,18012,1,1
"GO:0008652",0,216,24,18006,1,1
"GO:0009008",1,215,4,18026,0.0578123029328474,1
"GO:0009055",1,215,87,17943,1,1
"GO:0009056",0,216,7,18023,1,1
"GO:0009058",0,216,12,18018,1,1
"GO:0009063",0,216,2,18028,1,1
"GO:0009187",0,216,3,18027,1,1
"GO:0009299",0,216,5,18025,1,1
"GO:0009566",0,216,37,17993,1,1
"GO:0009605",0,216,4,18026,1,1
"GO:0009607",0,216,11,18019,1,1
"GO:0009628",0,216,2,18028,1,1
"GO:0009636",2,214,82,17948,0.262152388439943,1
"GO:0009653",1,215,90,17940,1,1
"GO:0009790",2,214,38,17992,0.0811773812747165,1
"GO:0009948",0,216,17,18013,1,1
"GO:0009950",0,216,12,18018,1,1
"GO:0009987",0,216,5,18025,1,1
"GO:0015031",6,210,363,17667,0.457328605169811,1
"GO:0015078",0,216,14,18016,1,1
"GO:0015171",0,216,42,17988,1,1
"GO:0015276",0,216,34,17996,1,1
"GO:0015459",0,216,38,17992,1,1
"GO:0015464",0,216,16,18014,1,1
"GO:0015629",7,209,213,17817,0.0160292869104486,1
"GO:0015926",0,216,1,18029,1,1
"GO:0015931",0,216,1,18029,1,1
"GO:0016020",24,192,1907,16123,0.739506120847796,1
"GO:0016021",38,178,3620,14410,0.393464913246819,1
"GO:0016023",2,214,134,17896,0.67696780860755,1
"GO:0016032",2,214,292,17738,0.590057336956664,1
"GO:0016049",0,216,54,17976,1,1
"GO:0016070",0,216,8,18022,1,1
"GO:0016072",0,216,1,18029,1,1
"GO:0016079",0,216,16,18014,1,1
"GO:0016160",0,216,1,18029,1,1
"GO:0016192",4,212,97,17933,0.0320429071217621,1
"GO:0016209",0,216,17,18013,1,1
"GO:0016247",0,216,8,18022,1,1
"GO:0016298",0,216,4,18026,1,1
"GO:0016301",0,216,75,17955,1,1
"GO:0016337",4,212,95,17935,0.0300790757980623,1
"GO:0016407",0,216,11,18019,1,1
"GO:0016462",0,216,5,18025,1,1
"GO:0016491",0,216,90,17940,0.629976870536508,1
"GO:0016740",0,216,23,18007,1,1
"GO:0016746",1,215,16,18014,0.183345891573059,1
"GO:0016757",0,216,11,18019,1,1
"GO:0016779",0,216,12,18018,1,1
"GO:0016787",0,216,86,17944,0.629168977098459,1
"GO:0016788",0,216,10,18020,1,1
"GO:0016791",0,216,31,17999,1,1
"GO:0016799",0,216,2,18028,1,1
"GO:0016829",0,216,14,18016,1,1
"GO:0016831",0,216,8,18022,1,1
"GO:0016836",0,216,2,18028,1,1
"GO:0016853",0,216,7,18023,1,1
"GO:0016854",0,216,1,18029,1,1
"GO:0016866",0,216,1,18029,1,1
"GO:0016874",2,214,227,17803,1,1
"GO:0016917",0,216,1,18029,1,1
"GO:0017080",0,216,30,18000,1,1
"GO:0017081",0,216,9,18021,1,1
"GO:0019104",0,216,9,18021,1,1
"GO:0019200",0,216,1,18029,1,1
"GO:0019201",0,216,1,18029,1,1
"GO:0019207",0,216,2,18028,1,1
"GO:0019208",0,216,7,18023,1,1
"GO:0019209",0,216,7,18023,1,1
"GO:0019210",0,216,4,18026,1,1
"GO:0019211",0,216,3,18027,1,1
"GO:0019212",0,216,5,18025,1,1
"GO:0019213",0,216,8,18022,1,1
"GO:0019215",1,215,9,18021,0.112296922141617,1
"GO:0019221",4,212,124,17906,0.0657810378890234,1
"GO:0019227",0,216,7,18023,1,1
"GO:0019229",1,215,18,18012,0.202585233373166,1
"GO:0019233",0,216,52,17978,1,1
"GO:0019236",0,216,8,18022,1,1
"GO:0019237",0,216,7,18023,1,1
"GO:0019239",0,216,5,18025,1,1
"GO:0019538",0,216,4,18026,1,1
"GO:0019722",1,215,44,17986,0.415237159781339,1
"GO:0019724",0,216,3,18027,1,1
"GO:0019740",0,216,5,18025,1,1
"GO:0019763",0,216,1,18029,1,1
"GO:0019825",0,216,44,17986,1,1
"GO:0019882",0,216,36,17994,1,1
"GO:0019911",0,216,5,18025,1,1
"GO:0022602",0,216,4,18026,1,1
"GO:0022857",0,216,24,18006,1,1
"GO:0022904",0,216,13,18017,1,1
"GO:0030054",5,211,448,17582,1,1
"GO:0030097",1,215,52,17978,0.468512223805026,1
"GO:0030101",0,216,19,18011,1,1
"GO:0030120",0,216,2,18028,1,1
"GO:0030154",9,207,440,17590,0.115809177197184,1
"GO:0030234",0,216,16,18014,1,1
"GO:0030246",4,212,180,17850,0.174594620078864,1
"GO:0030313",0,216,1,18029,1,1
"GO:0030337",0,216,2,18028,1,1
"GO:0030380",0,216,1,18029,1,1
"GO:0030414",1,215,11,18019,0.133202108100814,1
"GO:0030424",2,214,214,17816,1,1
