"","GeneinGenome","GenenotinGO","GennomeinGO","GenomenotinGO","Fisher","FDR"
"GO:0007507",11,275,170,17860,0.000133581664527435,0.0529185644681796
"GO:0031012",14,272,276,17754,0.000198196870667339,0.0529185644681796
"GO:0007155",17,269,409,17621,0.000406733488681576,0.0723985609853205
"GO:0001501",8,278,135,17895,0.00185158876895932,0.247187100656069
"GO:0005509",22,264,692,17338,0.00282095468072756,0.295583805125787
"GO:0005576",38,248,1476,16554,0.00332116634972795,0.295583805125787
"GO:0005201",5,281,62,17968,0.00393213261575893,0.299965545259324
"GO:0005578",10,276,244,17786,0.00678408075200006,0.452837390196004
"GO:0008009",4,282,48,17982,0.00875569030829101,0.519504291625267
"GO:0007389",3,283,28,18002,0.0122612243248008,0.654749378944361
"GO:0000003",0,286,2,18028,1,1
"GO:0000165",6,280,258,17772,0.311988892718762,1
"GO:0000166",4,282,308,17722,1,1
"GO:0000228",0,286,49,17981,1,1
"GO:0000375",0,286,25,18005,1,1
"GO:0000398",0,286,218,17812,0.053203652393135,1
"GO:0000910",1,285,47,17983,0.53064720563018,1
"GO:0000981",3,283,161,17869,0.744669742174241,1
"GO:0000988",0,286,5,18025,1,1
"GO:0000989",0,286,13,18017,1,1
"GO:0000991",0,286,1,18029,1,1
"GO:0001070",0,286,1,18029,1,1
"GO:0001071",0,286,2,18028,1,1
"GO:0001076",0,286,13,18017,1,1
"GO:0001525",8,278,216,17814,0.0247936257809879,1
"GO:0001678",0,286,13,18017,1,1
"GO:0001816",1,285,22,18008,0.303851524374854,1
"GO:0002376",1,285,27,18003,0.356601185860494,1
"GO:0002446",0,286,9,18021,1,1
"GO:0002504",0,286,1,18029,1,1
"GO:0003674",12,274,735,17295,0.879827163543414,1
"GO:0003676",3,283,165,17865,0.748406077597505,1
"GO:0003677",24,262,1421,16609,0.739723318281569,1
"GO:0003678",1,285,17,18013,0.246793480280639,1
"GO:0003682",3,283,361,17669,0.387410352419777,1
"GO:0003684",0,286,58,17972,1,1
"GO:0003688",0,286,10,18020,1,1
"GO:0003690",1,285,72,17958,1,1
"GO:0003697",1,285,85,17945,1,1
"GO:0003700",13,273,856,17174,1,1
"GO:0003712",1,285,65,17965,1,1
"GO:0003723",5,281,438,17592,0.56368896274808,1
"GO:0003724",0,286,11,18019,1,1
"GO:0003729",2,284,111,17919,0.697015520390834,1
"GO:0003735",2,284,210,17820,0.776635643581207,1
"GO:0003743",0,286,51,17979,1,1
"GO:0003746",0,286,19,18011,1,1
"GO:0003747",0,286,4,18026,1,1
"GO:0003756",1,285,21,18009,0.292795412423011,1
"GO:0003774",0,286,47,17983,1,1
"GO:0003777",1,285,67,17963,1,1
"GO:0003779",4,282,281,17749,1,1
"GO:0003823",0,286,66,17964,0.628832370226093,1
"GO:0003824",0,286,53,17977,1,1
"GO:0003887",0,286,28,18002,1,1
"GO:0003896",0,286,4,18026,1,1
"GO:0003899",0,286,22,18008,1,1
"GO:0003909",0,286,4,18026,1,1
"GO:0003916",0,286,2,18028,1,1
"GO:0003924",1,285,230,17800,0.27548966204775,1
"GO:0003964",0,286,8,18022,1,1
"GO:0004016",0,286,10,18020,1,1
"GO:0004190",1,285,20,18010,0.281564332849075,1
"GO:0004383",0,286,8,18022,1,1
"GO:0004386",0,286,49,17981,1,1
"GO:0004518",0,286,13,18017,1,1
"GO:0004520",0,286,21,18009,1,1
"GO:0004521",0,286,17,18013,1,1
"GO:0004532",0,286,5,18025,1,1
"GO:0004553",0,286,5,18025,1,1
"GO:0004601",0,286,20,18010,1,1
"GO:0004620",1,285,11,18019,0.172141202821765,1
"GO:0004645",0,286,2,18028,1,1
"GO:0004672",2,284,191,17839,0.773012060769279,1
"GO:0004675",0,286,7,18023,1,1
"GO:0004714",1,285,30,18000,0.386318887403807,1
"GO:0004715",0,286,46,17984,1,1
"GO:0004721",1,285,37,17993,0.45044809744668,1
"GO:0004801",0,286,1,18029,1,1
"GO:0004802",0,286,3,18027,1,1
"GO:0004842",4,282,320,17710,0.821661936820179,1
"GO:0004857",1,285,26,18004,0.346379997122845,1
"GO:0004867",2,284,95,17935,0.665252699323945,1
"GO:0004869",0,286,34,17996,1,1
"GO:0004871",1,285,194,17836,0.378795111755322,1
"GO:0004872",4,282,197,17833,0.559682364527452,1
"GO:0004879",0,286,34,17996,1,1
"GO:0004896",0,286,21,18009,1,1
"GO:0004904",0,286,1,18029,1,1
"GO:0004930",8,278,654,17376,0.629752972252594,1
"GO:0005024",1,285,6,18024,0.104330588355059,1
"GO:0005031",0,286,24,18006,1,1
"GO:0005085",1,285,109,17921,1,1
"GO:0005102",6,280,336,17694,0.660074980489962,1
"GO:0005125",6,280,174,17856,0.0635819008303483,1
"GO:0005126",0,286,13,18017,1,1
"GO:0005132",0,286,17,18013,1,1
"GO:0005133",0,286,1,18029,1,1
"GO:0005134",0,286,5,18025,1,1
"GO:0005135",0,286,2,18028,1,1
"GO:0005136",0,286,2,18028,1,1
"GO:0005137",0,286,2,18028,1,1
"GO:0005138",0,286,7,18023,1,1
"GO:0005139",0,286,1,18029,1,1
"GO:0005140",0,286,1,18029,1,1
"GO:0005141",0,286,1,18029,1,1
"GO:0005142",0,286,1,18029,1,1
"GO:0005143",0,286,5,18025,1,1
"GO:0005144",0,286,1,18029,1,1
"GO:0005160",1,285,42,17988,0.492122719611357,1
"GO:0005164",1,285,29,18001,0.376568176392556,1
"GO:0005179",2,284,92,17938,0.659894980460582,1
"GO:0005184",0,286,30,18000,1,1
"GO:0005198",0,286,216,17814,0.053206117163877,1
"GO:0005200",2,284,107,17923,0.688700523838676,1
"GO:0005215",2,284,135,17895,1,1
"GO:0005216",0,286,15,18015,1,1
"GO:0005243",0,286,12,18018,1,1
"GO:0005244",1,285,28,18002,0.366663087700165,1
"GO:0005245",2,284,40,17990,0.139525041190319,1
"GO:0005246",1,285,27,18003,0.356601185860494,1
"GO:0005248",1,285,19,18011,0.270155526585601,1
"GO:0005249",1,285,45,17985,0.515599823369373,1
"GO:0005253",0,286,3,18027,1,1
"GO:0005261",0,286,20,18010,1,1
"GO:0005319",0,286,17,18013,1,1
"GO:0005326",0,286,6,18024,1,1
