"","GeneinGenome","GenenotinGO","GennomeinGO","GenomenotinGO","Fisher","FDR"
"GO:0006915",48,261,1765,16857,0.000834086344951061,0.188384794945995
"GO:0008219",50,259,1892,16730,0.00120596384876812,0.188384794945995
"GO:0016043",127,182,5870,12752,0.000430089283632545,0.188384794945995
"GO:0071840",127,182,6020,12602,0.00141112205952056,0.188384794945995
"GO:0004930",5,304,867,17755,0.00853004801837082,0.26880360596711
"GO:0005031",3,306,24,18598,0.00942623303219941,0.26880360596711
"GO:0006091",13,296,352,18270,0.00956417324602078,0.26880360596711
"GO:0006629",35,274,1315,17307,0.00700781739660694,0.26880360596711
"GO:0006810",95,214,4509,14113,0.00910287553194006,0.26880360596711
"GO:0006950",78,231,3557,15065,0.0085974697655474,0.26880360596711
"GO:0007186",9,300,1252,17370,0.00539546323508985,0.26880360596711
"GO:0008202",11,298,273,18349,0.00720898732522096,0.26880360596711
"GO:0008324",19,290,602,18020,0.00884837903679352,0.26880360596711
"GO:0009628",29,280,1064,17558,0.00942084848242766,0.26880360596711
"GO:0009719",40,269,1501,17121,0.00318703092385319,0.26880360596711
"GO:0019221",18,291,543,18079,0.00606220082309535,0.26880360596711
"GO:0022904",6,303,93,18529,0.00567714036277606,0.26880360596711
"GO:0042592",41,268,1585,17037,0.00540121587298836,0.26880360596711
"GO:0043066",25,284,790,17832,0.0025874826006498,0.26880360596711
"GO:0015078",6,303,106,18516,0.010180252298892,0.271812736380417
"GO:0005829",73,236,3327,15295,0.0109505642010858,0.278457203970467
"GO:0006811",36,273,1411,17211,0.0124116234686286,0.289720319939822
"GO:0016874",13,296,371,18251,0.0124785905592058,0.289720319939822
"GO:0016832",2,307,9,18613,0.0132520776411384,0.294858727515329
"GO:0007610",17,292,540,18082,0.0154229801862793,0.329434856778925
"GO:0005743",15,294,474,18148,0.0175719635875623,0.360901098298394
"GO:0007169",19,290,655,17967,0.0193263392356619,0.370414923731735
"GO:0034341",7,302,159,18463,0.0194225053642108,0.370414923731735
"GO:0015926",2,307,12,18610,0.0212319436334696,0.390960617250785
"GO:0005811",4,305,65,18557,0.0262790428533492,0.392475676584993
"GO:0006119",5,304,97,18525,0.0259046426382983,0.392475676584993
