"","GeneinGenome","GenenotinGO","GennomeinGO","GenomenotinGO","Fisher","FDR"
"GO:0007166",13,23,2595,16027,0.000748629573982496,0.199884096253326
"GO:0009987",36,0,14950,3672,0.000546419123928011,0.199884096253326
"GO:0030879",3,33,127,18495,0.00199485032658508,0.355083358132144
"GO:0006325",5,31,743,17879,0.0137535236054388,0.716308914109228
"GO:0007154",19,17,6089,12533,0.0127816136486573,0.716308914109228
"GO:0007165",18,18,5623,12999,0.0165780035066541,0.716308914109228
"GO:0007399",9,27,2099,16523,0.0163546570323031,0.716308914109228
"GO:0009058",20,16,6167,12455,0.00693521929783732,0.716308914109228
"GO:0016407",2,34,102,18520,0.0171380105545729,0.716308914109228
"GO:0032502",18,18,5709,12913,0.0174382319914232,0.716308914109228
"GO:0044707",19,17,5802,12820,0.0103758965968102,0.716308914109228
"GO:0048731",15,21,4167,14455,0.0087934919775778,0.716308914109228
"GO:0065007",30,6,11279,7343,0.00552628753265707,0.716308914109228
"GO:0007610",4,32,540,18082,0.0201319030146757,0.767888300702632
"GO:0001071",6,30,1210,17412,0.0274262404483936,0.785724082345622
"GO:0001076",2,34,137,18485,0.029427868252645,0.785724082345622
"GO:0003700",6,30,1209,17413,0.0273290602337807,0.785724082345622
"GO:0008150",36,0,16672,1950,0.0288137216846049,0.785724082345622
"GO:0008283",8,28,1899,16723,0.0263025685882941,0.785724082345622
"GO:0015926",1,35,12,18610,0.0248026218184161,0.785724082345622
"GO:0003729",2,34,165,18457,0.0411306489484774,0.785733807039234
"GO:0005216",3,33,421,18201,0.047872912996487,0.785733807039234
"GO:0006144",1,35,19,18603,0.0379090801617478,0.785733807039234
"GO:0006206",1,35,19,18603,0.0379090801617478,0.785733807039234
"GO:0006351",12,24,3683,14939,0.0565421174943612,0.785733807039234
"GO:0006367",2,34,173,18449,0.0447494671935671,0.785733807039234
"GO:0006464",12,24,3738,14884,0.0591445293720144,0.785733807039234
"GO:0006473",2,34,183,18439,0.0494333925710959,0.785733807039234
"GO:0006807",19,17,6776,11846,0.0550073686711667,0.785733807039234
"GO:0007010",5,31,1099,17523,0.059139721630535,0.785733807039234
"GO:0007126",2,34,169,18453,0.0429254939925031,0.785733807039234
"GO:0008066",1,35,27,18595,0.052678238298985,0.785733807039234
"GO:0009187",2,34,183,18439,0.0494333925710959,0.785733807039234
"GO:0009628",5,31,1064,17558,0.0528154116162499,0.785733807039234
"GO:0009790",5,31,935,17687,0.0331384263436506,0.785733807039234
"GO:0019219",13,23,4018,14604,0.0421267599384859,0.785733807039234
"GO:0030097",4,32,705,17917,0.0465694036930435,0.785733807039234
"GO:0030154",12,24,3537,15085,0.0518840940026123,0.785733807039234
"GO:0032501",19,17,6828,11794,0.0559887463804945,0.785733807039234
"GO:0045202",4,32,717,17905,0.0490091598906192,0.785733807039234
"GO:0045211",2,34,205,18417,0.0603278765704281,0.785733807039234
"GO:0019239",1,35,33,18589,0.0636102154176961,0.789950117047668
"GO:0042558",1,35,33,18589,0.0636102154176961,0.789950117047668
"GO:0044238",25,11,9990,8632,0.0657932858181125,0.79849124151982
"GO:0006139",16,20,5646,12976,0.0710364075684087,0.824640035685441
"GO:0007507",3,33,493,18129,0.0698916600235947,0.824640035685441
"GO:0003712",3,33,533,18089,0.0838069995031901,0.845277655049132
"GO:0004879",1,35,47,18575,0.0886433495931674,0.845277655049132
"GO:0006281",3,33,511,18111,0.0760113050575447,0.845277655049132
"GO:0006378",1,35,39,18583,0.0744195037620714,0.845277655049132
"GO:0008206",1,35,43,18579,0.0815581968946188,0.845277655049132
