"","goid","BP","CC","MF","sum","BP1","BP2","BP3","BP4","BP5","BP6","BP7","CC1","CC2","CC3","CC4","CC5","CC6","CC7","MF1","MF2","MF3","MF4","MF5","MF6","MF7"
"1","GO:0000003",NA,1,1,NA,"GO:0008150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","GO:0000165",NA,1,1,NA,NA,"GO:0044699","GO:0044763","GO:0007154","GO:0007165","GO:0035556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","GO:0000166",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO:0005488","GO:1901363","GO:1901265",NA,NA,NA
"4","GO:0000228",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO:0044464","GO:0005622","GO:0044424","GO:0043229","GO:0070013","GO:0031981",NA,NA,NA,NA,NA,NA,NA
"5","GO:0000229",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO:0005623","GO:0044464","GO:0005622","GO:0044424","GO:0005737","GO:0044444",NA,NA,NA,NA,NA,NA,NA
"6","GO:0000375",NA,1,1,NA,NA,"GO:0008152","GO:0071704","GO:0043170","GO:0010467","GO:0006396","GO:0008380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","GO:0000398",NA,1,1,NA,NA,"GO:0009987","GO:0044237","GO:0044260","GO:0016070","GO:0016071","GO:0006397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","GO:0000910",NA,1,1,NA,NA,"GO:0044699","GO:0044763","GO:0051301","GO:0022402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","GO:0000981",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO:0001071","GO:0003700",NA,NA,NA,NA
"10","GO:0000988",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO:0003674",NA,NA,NA,NA,NA,NA
"11","GO:0000989",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO:0000988",NA,NA,NA,NA,NA
"12","GO:0000990",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO:0000988",NA,NA,NA,NA,NA
"13","GO:0000991",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO:0000988","GO:0000990",NA,NA,NA,NA
"14","GO:0000995",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO:0000988","GO:0000990",NA,NA,NA,NA
"15","GO:0001007",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO:0000988","GO:0000989",NA,NA,NA,NA
"16","GO:0001070",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO:0001071",NA,NA,NA,NA,NA
"17","GO:0001071",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO:0003674",NA,NA,NA,NA,NA,NA
"18","GO:0001076",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO:0000988","GO:0000989",NA,NA,NA,NA
"19","GO:0001082",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO:0000988","GO:0000989",NA,NA,NA,NA
"20","GO:0001167",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO:0001071","GO:0003700",NA,NA,NA,NA
"21","GO:0001501",NA,1,1,NA,NA,"GO:0032502","GO:0048856","GO:0007275","GO:0048731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","GO:0001525",NA,1,1,NA,NA,"GO:0032502","GO:0048856","GO:0048731","GO:0001944","GO:0001568","GO:0048514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","GO:0001678",NA,1,1,NA,NA,"GO:0065007","GO:0065008","GO:0042592","GO:0048878","GO:0055082","GO:0042593",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","GO:0001816",NA,1,1,NA,NA,"GO:0044699","GO:0044707",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","GO:0001906",NA,1,1,NA,"GO:0008150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","GO:0002376",NA,1,1,NA,"GO:0008150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","GO:0002446",NA,1,1,NA,NA,"GO:0002376","GO:0002252","GO:0002443","GO:0002444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","GO:0002447",NA,1,1,NA,NA,"GO:0002376","GO:0002252","GO:0002443","GO:0002444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","GO:0002504",NA,1,1,NA,NA,"GO:0002376","GO:0019882",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","GO:0002560",NA,1,1,NA,NA,"GO:0002376","GO:0002252","GO:0002443","GO:0002444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","GO:0003008",NA,1,1,NA,NA,"GO:0032501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","GO:0003674",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","GO:0003676",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO:0005488","GO:1901363",NA,NA,NA,NA
"34","GO:0003677",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO:0005488","GO:1901363","GO:0003676",NA,NA,NA
"35","GO:0003678",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","GO:0003682",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO:0005488","GO:0044877",NA,NA,NA,NA
"37","GO:0003684",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO:0005488","GO:1901363","GO:0003676","GO:0003677",NA,NA
"38","GO:0003688",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO:0005488","GO:1901363","GO:0003676","GO:0003677","GO:0043565","GO:1990837"
