"","V1","V2"
"txoutcome",NA,NA
"RNF14",0.267660840013696,NA
"UBE2Q1",0.0857570027889753,NA
"EXO1",0.541392273402476,NA
"RNF10",0.954199922112314,NA
"RNF11",0.673624674963482,NA
"RNF13",0.0722298236361223,NA
"REM1",0.504653856168597,NA
"FGFR1OP2",0.738325830297651,NA
"MZT2B",0.62541931956798,NA
"NDP",0.156853280633056,NA
"PMM2",0.17225256892661,NA
"PMM1",0.158259862930007,NA
"ASS1",0.0585609955810247,NA
"NCBP1",0.719625740207432,NA
"RBM14",0.198265425281373,NA
"NCBP2",0.278552103697229,NA
"ATRIP",0.198265425281373,NA
"ZNF703",0.677823307437028,NA
"STYXL1",0.805677133309593,NA
"COPRS",0.343794417811623,NA
"CAMK4",0.826490895795037,NA
"ZC3H10",0.298996332711389,NA
"RNF114",0.334124704156153,NA
"RNF115",0.228516967030922,NA
"ZC3H15",0.0990867873985563,NA
"ZC3H14",0.0745361064214599,NA
"SPN",0.628133677934316,NA
"RNF111",0.980907964505557,NA
"ZC3H18",0.0148451318978725,NA
"GRIN1",0.627454614786568,NA
"SP8",0.379546766119981,NA
"DHX9",0.138908365013042,NA
"TCOF1",0.216186035703257,NA
"NSRP1",0.412021721254518,NA
"NUP98",0.334347407160807,NA
"XPC",0.732554849695987,NA
"SP1",0.473989121100057,NA
"XPA",0.877520578261726,NA
"PNMT",0.0823233478798322,NA
"SP4",0.328881857705317,NA
"SP6",0.0326367159032178,NA
"FTMT",0.380065873425945,NA
"C16orf93",0.788681814185989,NA
"SPPL3",0.253069505310769,NA
"GOLIM4",0.947339243228912,NA
"OPA3",0.588623658385221,NA
"RAB40C",0.377991330511892,NA
"RAB40B",0.0971421277426064,NA
"KRTAP21.2",0.0699823068890935,NA
"COL7A1",0.987780408752693,NA
"MDP1",0.902483500180807,NA
"FAM187B",0.977090519445434,NA
"KLLN",0.935152441127688,NA
"B2M",0.428579767873583,NA
"SPPL2A",0.627454614786568,NA
"SPPL2B",0.86771863865383,NA
"NSL1",0.476949473491624,NA
"ITGA9",0.22229028065707,NA
"UGCG",0.623386251319549,NA
"ATP2A1",0.545838063324633,NA
"ATP2A2",0.149151031477885,NA
"ATP2A3",0.115341041819199,NA
"HSD11B1L",0.322286701300047,NA
"ITGA2",0.605893678130295,NA
"ITGA3",0.139676509153495,NA
"ITGA4",0.903999762918634,NA
"RIT2",0.510171827692629,NA
"RIT1",0.610581742069489,NA
"ITGA7",0.247156386507392,NA
"TRHR",0.352152735327619,NA
"OFD1",0.701801600657333,NA
"DENND4A",0.138908365013042,NA
"SWAP70",0.303022631242721,NA
"RARRES1",0.652095831791665,NA
"PHLDA1",0.626097435128648,NA
"ZNF664.FAM101A",0.473398264853612,NA
"PHLDA2",0.0340656198287534,NA
"LINC00313",0.389488995778231,NA
"GAP43",0.435873455988867,NA
"PAMR1",0.279402208691878,NA
"LOC100652772",0.467512040252198,NA
"FLJ42393",0.930586150704013,NA
"FBXL13",0.518817655908312,NA
"FBXL12",0.543295396131084,NA
"FBXL15",0.617981061502688,NA
"CYP27B1",0.994653759831978,NA
"FBXL16",0.734717216021959,NA
